customer_id,account_id,segment,home_country,tenure_days,age_band,avg_amount_90d,risk_tier,card_tokens,bound_device_ids,is_mule,ring_id
ALD-C000001,ALD-A000001,retail,PT,1296,36-50,28.17,standard,tok_K000001,D000001,False,
ALD-C000002,ALD-A000002,retail,PT,3007,36-50,25.61,standard,tok_K000002,D000002,False,
ALD-C000003,ALD-A000003,retail,PT,681,26-35,51.32,standard,tok_K000003;tok_K000004,D000003;D000004,False,
ALD-C000004,ALD-A000004,student,PT,2413,51-65,24.7,standard,tok_K000005,D000005,False,
ALD-C000005,ALD-A000005,retail,PT,1644,18-25,29.61,standard,tok_K000006,D000006,False,
ALD-C000006,ALD-A000006,retail,PT,1107,36-50,34.99,standard,tok_K000007,D000007,False,
ALD-C000007,ALD-A000007,student,PT,3416,36-50,23.84,standard,tok_K000008,D000008,False,
ALD-C000008,ALD-A000008,retail,PT,2557,36-50,41.24,standard,tok_K000009,D000009,False,
ALD-C000009,ALD-A000009,business,PT,2186,26-35,264.1,low,tok_K000010;tok_K000011,D000010;D000011,False,
ALD-C000010,ALD-A000010,retail,PT,3609,26-35,24.01,standard,tok_K000012,D000012;D000013,False,
ALD-C000011,ALD-A000011,retail,PT,159,51-65,20.93,standard,tok_K000013,D000014;D000015,False,
ALD-C000012,ALD-A000012,retail,PT,2553,36-50,31.38,standard,tok_K000014,D000016,False,
ALD-C000013,ALD-A000013,retail,PT,1772,26-35,57.66,standard,tok_K000015,D000017;D000018,False,
ALD-C000014,ALD-A000014,retail,PT,747,18-25,27.77,standard,tok_K000016;tok_K000017,D000019,False,
ALD-C000015,ALD-A000015,retail,PT,3280,51-65,34.49,standard,tok_K000018,D000020;D000021,False,
ALD-C000016,ALD-A000016,retail,PT,1323,26-35,27.83,standard,tok_K000019,D000022;D000023,False,
ALD-C000017,ALD-A000017,business,PT,661,36-50,118.72,standard,tok_K000020,D000024;D000025,False,
ALD-C000018,ALD-A000018,retail,PT,788,26-35,66.05,standard,tok_K000021;tok_K000022,D000026,False,
ALD-C000019,ALD-A000019,retail,PT,952,26-35,25.27,standard,tok_K000023,D000027;D000028,False,
