transaction_id,event_time,customer_id,account_id,card_token,transaction_type,channel,amount,currency,merchant_id,mcc,merchant_country,beneficiary_id,beneficiary_country,device_id,ip_address,ip_country,is_fraud,fraud_type,scenario_id,label_available_at
ALD-T000000295,2026-01-01 06:10:37.428595+00:00,ALD-C002490,ALD-A002490,tok_K003238,CARD_PAYMENT,ECOM,21.7,EUR,M001175,5812,PT,,,D003562,79.92.140.40,PT,False,,,
ALD-T000003132,2026-01-01 14:06:02.156713+00:00,ALD-C004004,ALD-A004004,tok_K005184,CARD_PAYMENT,ECOM,971.45,EUR,M001085,6051,PT,,,D006040,79.12.90.216,PT,True,fraud_ring,RING-000-ALD-C004004-2,2026-01-17 09:09:40.156713+00:00
ALD-T000004505,2026-01-01 16:37:43.260553+00:00,ALD-C002964,ALD-A002964,tok_K003851,CARD_PAYMENT,POS,23.73,EUR,M000131,5411,PT,,,,,,False,,,
ALD-T000005188,2026-01-01 18:16:25.901611+00:00,ALD-C002964,ALD-A002964,tok_K003851,CARD_PAYMENT,ECOM,47.67,EUR,M000949,5812,PT,,,D004215,79.41.23.19,PT,False,,,
ALD-T000007605,2026-01-02 11:26:22.635204+00:00,ALD-C003879,ALD-A003879,tok_K005035,CARD_PAYMENT,POS,13.78,EUR,M000925,5812,PT,,,,,,False,,,
ALD-T000009677,2026-01-02 15:09:20.849934+00:00,ALD-C001325,ALD-A001325,,TRANSFER,MOBILE,115.83,EUR,,,,B003292,PT,D001894,79.254.180.78,PT,False,,,
ALD-T000010341,2026-01-02 16:24:20.974744+00:00,ALD-C000225,ALD-A000225,tok_K000284,CARD_PAYMENT,POS,44.62,EUR,M000593,5816,PT,,,,,,False,,,
ALD-T000013320,2026-01-03 10:09:14.840894+00:00,ALD-C003699,ALD-A003699,tok_K004801,CARD_PAYMENT,POS,122.51,EUR,M001156,5411,PT,,,,,,False,,,
ALD-T000015358,2026-01-03 13:24:48.163891+00:00,ALD-C001795,ALD-A001795,tok_K002323,CARD_PAYMENT,ECOM,24.77,EUR,M000321,5812,PT,,,D002579,79.135.136.100,PT,False,,,
ALD-T000017479,2026-01-03 16:08:07.298528+00:00,ALD-C003357,ALD-A003357,tok_K004354,CARD_PAYMENT,ECOM,55.87,EUR,M001193,5541,PT,,,D004755,79.96.115.102,PT,False,,,
ALD-T000019841,2026-01-04 03:01:52.491888+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,871.72,EUR,M001113,5816,TH,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 15:43:33.491888+00:00
ALD-T000019860,2026-01-04 03:37:02.686030+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,4.11,EUR,M000989,5816,PT,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 16:18:43.686030+00:00
ALD-T000019877,2026-01-04 03:57:07.813242+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,559.4,EUR,M001535,5311,GB,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 16:38:48.813242+00:00
ALD-T000019907,2026-01-04 04:28:14.742747+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,229.46,EUR,M000993,5311,FR,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 17:09:55.742747+00:00
ALD-T000019926,2026-01-04 04:57:20.571910+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,234.29,EUR,M000628,5311,BR,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 17:39:01.571910+00:00
ALD-T000019951,2026-01-04 05:35:47.374287+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,600.75,EUR,M001209,5816,GB,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 18:17:28.374287+00:00
ALD-T000019957,2026-01-04 05:42:52.001988+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,371.28,EUR,M000724,5732,BR,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 18:24:33.001988+00:00
ALD-T000019969,2026-01-04 05:58:06.406534+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,272.95,EUR,M000254,5816,FR,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 18:39:47.406534+00:00
ALD-T000020134,2026-01-04 06:05:08.058022+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,842.87,EUR,M000782,5944,BR,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 18:46:49.058022+00:00
ALD-T000020183,2026-01-04 06:35:45.776420+00:00,ALD-C001893,ALD-A001893,tok_K002453,CARD_PAYMENT,ECOM,188.7,EUR,M001551,5311,IT,,,D006153,107.6.62.178,US,True,stolen_card,STC-0027,2026-02-18 19:17:26.776420+00:00
ALD-T000020414,2026-01-04 07:59:59.174341+00:00,ALD-C002784,ALD-A002784,tok_K003618,CARD_PAYMENT,ECOM,231.97,EUR,M000575,5691,PT,,,D003956,79.63.10.210,PT,False,,,
ALD-T000022762,2026-01-04 12:45:47.236747+00:00,ALD-C000565,ALD-A000565,tok_K000729,CARD_PAYMENT,POS,975.39,EUR,M001233,5944,PT,,,,,,False,,,
ALD-T000023412,2026-01-04 13:33:44.643419+00:00,ALD-C000684,ALD-A000684,tok_K000880,CARD_PAYMENT,POS,444.56,EUR,M001505,5944,BR,,,,,,True,geo_counterfeit,GEO-0029,2026-02-05 21:11:43.643419+00:00
ALD-T000023712,2026-01-04 13:58:12.450469+00:00,ALD-C000684,ALD-A000684,tok_K000880,CARD_PAYMENT,POS,595.8,EUR,M000782,5944,BR,,,,,,True,geo_counterfeit,GEO-0029,2026-02-05 21:36:11.450469+00:00
ALD-T000024014,2026-01-04 14:18:50.577729+00:00,ALD-C000684,ALD-A000684,tok_K000880,CARD_PAYMENT,POS,1046.43,EUR,M000413,5944,BR,,,,,,True,geo_counterfeit,GEO-0029,2026-02-05 21:56:49.577729+00:00
ALD-T000024531,2026-01-04 14:57:40.861719+00:00,ALD-C001065,ALD-A001065,,TRANSFER,MOBILE,95.31,EUR,,,,B002639,PT,D001525,79.212.80.183,PT,False,,,
ALD-T000024863,2026-01-04 15:25:22.184354+00:00,ALD-C000574,ALD-A000574,tok_K000741,CARD_PAYMENT,POS,15.37,EUR,M001035,5999,PT,,,,,,False,,,
ALD-T000026571,2026-01-04 18:10:37.750240+00:00,ALD-C000771,ALD-A000771,tok_K000987,CARD_PAYMENT,POS,81.48,EUR,M000847,5691,PT,,,,,,False,,,
