transaction_id,chargeback_date,reason_code,amount,currency,customer_id
ALD-T000019841,2026-02-18,4837,871.72,EUR,ALD-C001893
ALD-T000019860,2026-02-18,4837,4.11,EUR,ALD-C001893
ALD-T000019877,2026-02-18,4837,559.40,EUR,ALD-C001893
ALD-T000019907,2026-02-18,4837,229.46,EUR,ALD-C001893
ALD-T000019926,2026-02-18,4837,234.29,EUR,ALD-C001893
ALD-T000019951,2026-02-18,4837,600.75,EUR,ALD-C001893
ALD-T000019957,2026-02-18,4837,371.28,EUR,ALD-C001893
ALD-T000019969,2026-02-18,4837,272.95,EUR,ALD-C001893
ALD-T000020134,2026-02-18,4837,842.87,EUR,ALD-C001893
ALD-T000020183,2026-02-18,4837,188.70,EUR,ALD-C001893
ALD-T000023412,2026-02-05,4837,444.56,EUR,ALD-C000684
ALD-T000023712,2026-02-05,4837,595.80,EUR,ALD-C000684
ALD-T000024014,2026-02-05,4837,1046.43,EUR,ALD-C000684
ALD-T000030674,2026-02-20,4837,629.95,EUR,ALD-C000287
ALD-T000030766,2026-02-20,4837,692.43,EUR,ALD-C000287
ALD-T000031081,2026-02-20,4837,415.41,EUR,ALD-C000287
ALD-T000031306,2026-02-21,4837,108.39,EUR,ALD-C000287
ALD-T000031608,2026-02-21,4837,208.95,EUR,ALD-C000287
ALD-T000031720,2026-02-21,4837,113.46,EUR,ALD-C000287
ALD-T000033728,2026-02-10,4837,3.06,EUR,ALD-C001853
ALD-T000033736,2026-02-10,4837,2.79,EUR,ALD-C001853
ALD-T000033738,2026-02-10,4837,727.92,EUR,ALD-C001853
ALD-T000033753,2026-02-10,4837,134.23,EUR,ALD-C001853
ALD-T000033773,2026-02-10,4837,127.44,EUR,ALD-C001853
ALD-T000033779,2026-02-10,4837,196.57,EUR,ALD-C001853
ALD-T000033795,2026-02-10,4837,620.85,EUR,ALD-C001853
ALD-T000033806,2026-02-10,4837,814.96,EUR,ALD-C001853
ALD-T000033827,2026-02-10,4837,747.58,EUR,ALD-C001853
ALD-T000035839,2026-02-08,4837,3.54,EUR,ALD-C003507
ALD-T000036080,2026-02-08,4837,185.35,EUR,ALD-C003507
ALD-T000036164,2026-01-10,4837,106.55,EUR,ALD-C003956
ALD-T000036303,2026-01-10,4837,307.45,EUR,ALD-C003956
ALD-T000036413,2026-02-08,4837,390.35,EUR,ALD-C003507
ALD-T000036551,2026-01-10,4837,358.02,EUR,ALD-C003956
ALD-T000036667,2026-02-08,4837,473.66,EUR,ALD-C003507
ALD-T000036692,2026-01-10,4837,110.65,EUR,ALD-C003956
ALD-T000037017,2026-02-08,4837,113.01,EUR,ALD-C003507
ALD-T000037065,2026-02-08,4837,680.59,EUR,ALD-C003507
ALD-T000037159,2026-02-08,4837,143.96,EUR,ALD-C003507
ALD-T000037474,2026-02-08,4837,110.37,EUR,ALD-C003507
