transaction_id,event_time,customer_id,account_id,transaction_type,channel,amount,currency,card_token,merchant_id,mcc,merchant_country,beneficiary_id,beneficiary_country,device_id,ip_address,ip_country
ALD-T000767711,2026-04-29T00:04:18.685Z,ALD-C003358,ALD-A003358,CARD_PAYMENT,POS,19.27,EUR,tok_K004355,M001255,5411,PT,,,,,
ALD-T000767712,2026-04-29T00:04:59.601Z,ALD-C001537,ALD-A001537,TRANSFER,MOBILE,872.84,EUR,,,,,B003835,PT,D002206,79.215.14.229,PT
ALD-T000767713,2026-04-29T00:06:06.192Z,ALD-C000159,ALD-A000159,TRANSFER,MOBILE,1227.09,EUR,,,,,B000404,PT,D000228,79.153.248.54,PT
ALD-T000767714,2026-04-29T00:07:02.652Z,ALD-C002200,ALD-A002200,CARD_PAYMENT,ECOM,28.76,EUR,tok_K002855,M000411,4111,PT,,,D003153,79.170.242.166,PT
ALD-T000767715,2026-04-29T00:10:32.918Z,ALD-C001159,ALD-A001159,CARD_PAYMENT,ECOM,439.47,EUR,tok_K001491,M000048,5816,IT,,,D006166,98.7.29.168,ID
ALD-T000767716,2026-04-29T00:10:58.550Z,ALD-C000897,ALD-A000897,CARD_PAYMENT,ECOM,8.40,EUR,tok_K001152,M000185,5999,PT,,,D001292,79.25.131.28,PT
ALD-T000767717,2026-04-29T00:15:06.814Z,ALD-C002334,ALD-A002334,CARD_PAYMENT,POS,4.69,EUR,tok_K003029,M001148,4111,PT,,,,,
ALD-T000767718,2026-04-29T00:15:21.157Z,ALD-C000002,ALD-A000002,CARD_PAYMENT,ECOM,31.91,EUR,tok_K000002,M001147,5311,PT,,,D000002,79.204.141.149,PT
ALD-T000767719,2026-04-29T00:16:01.767Z,ALD-C001705,ALD-A001705,TRANSFER,WEB,87.95,EUR,,,,,B004268,PT,D005816,79.27.160.190,PT
ALD-T000767720,2026-04-29T00:16:11.572Z,ALD-C001637,ALD-A001637,CARD_PAYMENT,ECOM,149.00,EUR,tok_K002116,M001597,5691,PT,,,D005809,79.95.110.185,PT
ALD-T000767721,2026-04-29T00:21:51.199Z,ALD-C001750,ALD-A001750,TRANSFER,MOBILE,55.69,EUR,,,,,B004383,PT,D002520,79.10.255.228,PT
ALD-T000767722,2026-04-29T00:22:21.256Z,ALD-C001159,ALD-A001159,CARD_PAYMENT,ECOM,507.00,EUR,tok_K001491,M001519,5311,ES,,,D006166,98.7.29.168,ID
ALD-T000767723,2026-04-29T00:22:41.893Z,ALD-C003339,ALD-A003339,CARD_PAYMENT,ECOM,36.67,EUR,tok_K004332,M000219,5411,PT,,,D004731,79.55.200.190,PT
ALD-T000767724,2026-04-29T00:23:18.327Z,ALD-C001094,ALD-A001094,CARD_PAYMENT,ECOM,15.04,EUR,tok_K001409,M000173,4111,PT,,,D001565,79.209.15.121,PT
