transaction_id,chargeback_date,reason_code,amount,currency,customer_id
QPY-T000021255,2026-04-03,4837,4.70,EUR,QPY-C002345
QPY-T000021399,2026-04-03,4837,2.89,EUR,QPY-C002345
QPY-T000021422,2026-04-03,4837,224.64,EUR,QPY-C002345
QPY-T000021569,2026-04-03,4837,537.80,EUR,QPY-C002345
QPY-T000021633,2026-04-03,4837,568.25,EUR,QPY-C002345
QPY-T000021651,2026-04-03,4837,254.62,EUR,QPY-C002345
QPY-T000021822,2026-04-03,4837,482.39,EUR,QPY-C002345
QPY-T000021887,2026-04-03,4837,273.31,EUR,QPY-C002345
QPY-T000025821,2026-04-03,4837,2.30,EUR,QPY-C001304
QPY-T000025835,2026-04-03,4837,1.18,EUR,QPY-C001304
QPY-T000025858,2026-04-03,4837,426.42,EUR,QPY-C001304
QPY-T000025872,2026-04-03,4837,879.82,EUR,QPY-C001304
QPY-T000025897,2026-04-03,4837,829.28,EUR,QPY-C001304
QPY-T000025986,2026-04-03,4837,645.44,EUR,QPY-C001304
QPY-T000026113,2026-04-03,4837,743.77,EUR,QPY-C001304
QPY-T000026246,2026-04-03,4837,660.42,EUR,QPY-C001304
QPY-T000026425,2026-04-03,4837,387.97,EUR,QPY-C001304
QPY-T000026450,2026-04-03,4837,386.53,EUR,QPY-C001304
QPY-T000026583,2026-04-03,4837,540.35,EUR,QPY-C001304
QPY-T000036832,2026-03-04,4837,3.90,EUR,QPY-C000455
QPY-T000036840,2026-03-04,4837,795.97,EUR,QPY-C000455
QPY-T000036858,2026-03-04,4837,372.12,EUR,QPY-C000455
QPY-T000036875,2026-03-04,4837,392.63,EUR,QPY-C000455
QPY-T000036888,2026-03-04,4837,334.79,EUR,QPY-C000455
QPY-T000036892,2026-03-04,4837,535.43,EUR,QPY-C000455
QPY-T000036911,2026-03-04,4837,452.53,EUR,QPY-C000455
QPY-T000037067,2026-03-04,4837,376.73,EUR,QPY-C000455
QPY-T000037118,2026-03-04,4837,235.24,EUR,QPY-C000455
QPY-T000041418,2026-03-04,4837,2.03,EUR,QPY-C002922
QPY-T000041430,2026-03-04,4837,2.07,EUR,QPY-C002922
QPY-T000041438,2026-03-04,4837,0.57,EUR,QPY-C001370
QPY-T000041442,2026-03-04,4837,1.15,EUR,QPY-C001370
QPY-T000041454,2026-03-04,4837,0.71,EUR,QPY-C001370
QPY-T000041469,2026-03-04,4837,1.90,EUR,QPY-C001459
QPY-T000041470,2026-03-04,4837,2.41,EUR,QPY-C001369
QPY-T000041471,2026-03-04,4837,1.42,EUR,QPY-C001370
QPY-T000041478,2026-03-04,4837,0.87,EUR,QPY-C001093
QPY-T000041482,2026-03-04,4837,1.30,EUR,QPY-C000082
QPY-T000041487,2026-03-04,4837,1.73,EUR,QPY-C000082
QPY-T000041489,2026-03-04,4837,2.24,EUR,QPY-C001369
