transaction_id,event_time,customer_id,account_id,transaction_type,channel,amount,currency,card_token,merchant_id,mcc,merchant_country,beneficiary_id,beneficiary_country,device_id,ip_address,ip_country
QPY-T000466753,2026-04-30T00:00:00.827Z,QPY-C001883,QPY-A001883,CARD_PAYMENT,ECOM,250.00,EUR,tok_K002434,M001297,5999,DE,,,D002697,79.247.183.254,PT
QPY-T000466754,2026-04-30T00:04:45.699Z,QPY-C000108,QPY-A000108,CARD_PAYMENT,ECOM,14.16,EUR,tok_K000132,M000153,5411,FR,,,D000151,175.89.199.63,FR
QPY-T000466755,2026-04-30T00:07:12.837Z,QPY-C002502,QPY-A002502,CARD_PAYMENT,ECOM,14.73,EUR,tok_K003244,M000779,5812,DE,,,D003582,70.183.166.12,DE
QPY-T000466756,2026-04-30T00:08:56.219Z,QPY-C002067,QPY-A002067,CARD_PAYMENT,ECOM,2.84,EUR,tok_K002673,M000606,4111,ES,,,D002958,175.46.75.115,ES
QPY-T000466757,2026-04-30T00:15:55.582Z,QPY-C003184,QPY-A003184,CARD_PAYMENT,ECOM,26.58,EUR,tok_K004130,M000770,5411,IT,,,D004520,30.55.214.84,IT
QPY-T000466758,2026-04-30T00:17:18.015Z,QPY-C002493,QPY-A002493,TRANSFER,MOBILE,52.84,EUR,,,,,B006223,ES,D003571,175.144.57.143,ES
QPY-T000466759,2026-04-30T00:18:15.213Z,QPY-C002627,QPY-A002627,CARD_PAYMENT,ECOM,60.21,EUR,tok_K003409,M000751,5812,ES,,,D003756,175.155.252.150,ES
QPY-T000466760,2026-04-30T00:18:36.827Z,QPY-C001675,QPY-A001675,TRANSFER,MOBILE,37.71,EUR,,,,,B004195,ES,D002409,175.245.138.159,ES
QPY-T000466761,2026-04-30T00:18:45.239Z,QPY-C001721,QPY-A001721,CARD_PAYMENT,ECOM,27.06,EUR,tok_K002215,M001183,5691,ES,,,D002474,175.188.90.60,ES
QPY-T000466762,2026-04-30T00:19:24.025Z,QPY-C001366,QPY-A001366,TRANSFER,MOBILE,341.24,EUR,,,,,B013218,FR,D001950,175.22.172.51,FR
QPY-T000466763,2026-04-30T00:19:49.186Z,QPY-C002148,QPY-A002148,CARD_PAYMENT,ECOM,30.42,EUR,tok_K002779,M000189,5411,FR,,,D003079,175.29.87.57,FR
QPY-T000466764,2026-04-30T00:21:30.479Z,QPY-C000945,QPY-A000945,CARD_PAYMENT,ECOM,21.30,EUR,tok_K001206,M000542,4111,PT,,,D001357,79.201.183.23,PT
QPY-T000466765,2026-04-30T00:21:41.021Z,QPY-C000989,QPY-A000989,CARD_PAYMENT,ECOM,3.45,EUR,tok_K001266,M000485,5411,DE,,,D001414,70.214.130.209,DE
QPY-T000466766,2026-04-30T00:22:58.279Z,QPY-C001575,QPY-A001575,CARD_PAYMENT,ECOM,262.29,EUR,tok_K002019,M000476,4812,ES,,,D002258,175.3.36.144,ES
QPY-T000466767,2026-04-30T00:28:15.184Z,QPY-C002726,QPY-A002726,TRANSFER,MOBILE,141.96,EUR,,,,,B017819,ES,D003889,175.1.2.141,ES
QPY-T000466768,2026-04-30T00:31:57.542Z,QPY-C003376,QPY-A003376,CARD_PAYMENT,ECOM,101.59,EUR,tok_K004373,M001224,7011,ES,,,D004783,175.129.197.189,ES
QPY-T000466769,2026-04-30T00:35:30.012Z,QPY-C003468,QPY-A003468,CARD_PAYMENT,ECOM,16.03,EUR,tok_K004495,M000777,5541,DE,,,D004904,70.209.75.45,DE
QPY-T000466770,2026-04-30T00:36:49.977Z,QPY-C002974,QPY-A002974,TRANSFER,MOBILE,25.39,EUR,,,,,B007439,PT,D004224,79.216.69.97,PT
QPY-T000466771,2026-04-30T00:37:19.358Z,QPY-C000345,QPY-A000345,CARD_PAYMENT,ECOM,21.57,EUR,tok_K000432,M000978,5691,DE,,,D000488,70.10.227.198,DE
QPY-T000466772,2026-04-30T00:42:42.287Z,QPY-C000581,QPY-A000581,CARD_PAYMENT,ECOM,11.17,EUR,tok_K000741,M000351,5411,ES,,,D000822,175.253.22.184,ES
QPY-T000466773,2026-04-30T00:42:43.760Z,QPY-C002453,QPY-A002453,CARD_PAYMENT,ECOM,18.80,EUR,tok_K003178,M000808,5691,IT,,,D003515,30.16.41.168,IT
QPY-T000466774,2026-04-30T00:48:10.662Z,QPY-C003280,QPY-A003280,CARD_PAYMENT,ECOM,16.32,EUR,tok_K004252,M000666,5812,DE,,,D004652,70.85.223.140,DE
QPY-T000466775,2026-04-30T00:51:05.126Z,QPY-C000066,QPY-A000066,CARD_PAYMENT,ECOM,22.87,EUR,tok_K000076,M000819,7011,ES,,,D000088,175.236.166.112,ES
QPY-T000466776,2026-04-30T00:53:26.387Z,QPY-C000775,QPY-A000775,CARD_PAYMENT,ECOM,29.13,EUR,tok_K000991,M000099,5411,IT,,,D001109,30.143.17.29,IT
QPY-T000466777,2026-04-30T00:54:44.083Z,QPY-C002999,QPY-A002999,CARD_PAYMENT,ECOM,99.00,EUR,tok_K003888,M001297,5999,DE,,,D004263,175.196.67.148,FR
QPY-T000466778,2026-04-30T00:55:24.893Z,QPY-C001763,QPY-A001763,TRANSFER,MOBILE,48.19,EUR,,,,,B014652,FR,D002540,175.109.143.221,FR
QPY-T000466779,2026-04-30T00:57:35.927Z,QPY-C002579,QPY-A002579,TRANSFER,WEB,576.30,EUR,,,,,B017350,IT,D003688,30.38.143.101,IT
QPY-T000466780,2026-04-30T00:58:25.450Z,QPY-C002392,QPY-A002392,CARD_PAYMENT,ECOM,6.16,EUR,tok_K003100,M000319,5816,FR,,,D005301,175.134.52.143,FR
QPY-T000466781,2026-04-30T00:59:21.674Z,QPY-C001398,QPY-A001398,CARD_PAYMENT,ECOM,99.00,EUR,tok_K001795,M001300,5999,FR,,,D001994,175.250.176.170,ES
QPY-T000466782,2026-04-30T01:03:49.562Z,QPY-C000325,QPY-A000325,CARD_PAYMENT,ECOM,14.56,EUR,tok_K000406,M000550,5816,ES,,,D000460,175.22.157.230,ES
QPY-T000466783,2026-04-30T01:10:44.507Z,QPY-C000385,QPY-A000385,CARD_PAYMENT,ECOM,14.57,EUR,tok_K000480,M000585,5311,FR,,,D000541,175.16.229.160,FR
QPY-T000466784,2026-04-30T01:14:44.626Z,QPY-C002925,QPY-A002925,CARD_PAYMENT,ECOM,30.34,EUR,tok_K003794,M000966,5411,FR,,,D005392,175.246.132.194,FR
QPY-T000466785,2026-04-30T01:17:45.300Z,QPY-C000839,QPY-A000839,CARD_PAYMENT,ECOM,36.55,EUR,tok_K001067,M000125,5691,PT,,,D001205,79.143.214.132,PT
QPY-T000466786,2026-04-30T01:18:27.383Z,QPY-C001378,QPY-A001378,TRANSFER,MOBILE,1143.82,EUR,,,,,B013274,IT,D001964,30.224.120.73,IT
QPY-T000466787,2026-04-30T01:19:43.398Z,QPY-C000795,QPY-A000795,TRANSFER,MOBILE,68.60,EUR,,,,,B001982,FR,D001138,175.247.64.123,FR
QPY-T000466788,2026-04-30T01:23:51.219Z,QPY-C000580,QPY-A000580,CARD_PAYMENT,ECOM,23.12,EUR,tok_K000740,M000714,5999,DE,,,D000821,70.250.219.57,DE
QPY-T000466789,2026-04-30T01:23:59.031Z,QPY-C002691,QPY-A002691,CARD_PAYMENT,ECOM,28.54,EUR,tok_K003494,M000029,5411,FR,,,D003843,175.42.140.243,FR
QPY-T000466790,2026-04-30T01:25:56.772Z,QPY-C002870,QPY-A002870,CARD_PAYMENT,ECOM,19.90,EUR,tok_K003726,M001301,5999,DE,,,D004077,175.133.154.53,FR
QPY-T000466791,2026-04-30T01:27:32.666Z,QPY-C001304,QPY-A001304,CARD_PAYMENT,POS,20.97,EUR,tok_K001673,M000703,5541,FR,,,,,
QPY-T000466792,2026-04-30T01:28:48.370Z,QPY-C001850,QPY-A001850,TRANSFER,MOBILE,518.46,EUR,,,,,B014913,ES,D005233,175.57.192.165,ES
QPY-T000466793,2026-04-30T01:31:30.527Z,QPY-C002390,QPY-A002390,CARD_PAYMENT,ECOM,19.90,EUR,tok_K003097,M001298,5999,DE,,,D005300,70.225.82.133,DE
QPY-T000466794,2026-04-30T01:34:42.838Z,QPY-C002706,QPY-A002706,TRANSFER,MOBILE,492.55,EUR,,,,,B017749,DE,D003865,70.134.201.201,DE
QPY-T000466795,2026-04-30T01:34:47.934Z,QPY-C001049,QPY-A001049,CARD_PAYMENT,ECOM,49.00,EUR,tok_K001342,M001297,5999,DE,,,D001500,175.187.140.62,FR
QPY-T000466796,2026-04-30T01:36:58.538Z,QPY-C002872,QPY-A002872,CARD_PAYMENT,ECOM,8.63,EUR,tok_K003730,M000800,4812,FR,,,D004081,175.99.63.115,FR
QPY-T000466797,2026-04-30T01:37:27.740Z,QPY-C001957,QPY-A001957,CARD_PAYMENT,ECOM,36.24,EUR,tok_K002530,M000221,5411,ES,,,D002803,175.146.190.21,ES
QPY-T000466798,2026-04-30T01:38:05.075Z,QPY-C000805,QPY-A000805,CARD_PAYMENT,ECOM,26.65,EUR,tok_K001024,M000014,4812,IT,,,D001153,30.73.67.2,IT
QPY-T000466799,2026-04-30T01:38:39.576Z,QPY-C003437,QPY-A003437,CARD_PAYMENT,ECOM,44.84,EUR,tok_K004454,M000340,4812,FR,,,D004863,175.95.133.104,FR
QPY-T000466800,2026-04-30T01:41:27.899Z,QPY-C000692,QPY-A000692,CARD_PAYMENT,POS,50.34,EUR,tok_K000884,M000900,5691,ES,,,,,
QPY-T000466801,2026-04-30T01:44:36.667Z,QPY-C000893,QPY-A000893,TRANSFER,MOBILE,113.90,EUR,,,,,B002211,ES,D001284,175.141.87.192,ES
QPY-T000466802,2026-04-30T01:47:26.256Z,QPY-C003441,QPY-A003441,CARD_PAYMENT,ECOM,18.28,EUR,tok_K004458,M000618,5541,IT,,,D004869,30.255.52.250,IT
QPY-T000466803,2026-04-30T01:48:07.495Z,QPY-C000346,QPY-A000346,CARD_PAYMENT,ECOM,29.70,EUR,tok_K000433,M000727,5691,FR,,,D000489,175.192.87.160,FR
QPY-T000466804,2026-04-30T01:49:05.941Z,QPY-C000519,QPY-A000519,CARD_PAYMENT,ECOM,29.57,EUR,tok_K000659,M000934,5691,ES,,,D000734,175.77.131.83,ES
QPY-T000466805,2026-04-30T01:52:11.311Z,QPY-C002774,QPY-A002774,CARD_PAYMENT,ECOM,9.41,EUR,tok_K003601,M001196,5411,FR,,,D003952,175.245.44.107,FR
QPY-T000466806,2026-04-30T01:53:04.074Z,QPY-C002322,QPY-A002322,CARD_PAYMENT,ECOM,63.39,EUR,tok_K003005,M000973,5411,ES,,,D003325,175.88.44.2,ES
QPY-T000466807,2026-04-30T01:53:21.644Z,QPY-C000181,QPY-A000181,CARD_PAYMENT,ECOM,23.39,EUR,tok_K000219,M000365,5541,FR,,,D000254,175.177.82.8,FR
QPY-T000466808,2026-04-30T01:55:04.998Z,QPY-C001814,QPY-A001814,CARD_PAYMENT,ECOM,9.57,EUR,tok_K002340,M000009,5411,ES,,,D005224,175.139.236.206,ES
QPY-T000466809,2026-04-30T01:56:51.609Z,QPY-C001356,QPY-A001356,CARD_PAYMENT,ECOM,32.63,EUR,tok_K001741,M001188,5411,DE,,,D001936,70.76.219.1,DE
QPY-T000466810,2026-04-30T01:57:51.315Z,QPY-C002065,QPY-A002065,CARD_PAYMENT,ECOM,149.00,EUR,tok_K002670,M001300,5999,FR,,,D002955,175.230.46.81,ES
QPY-T000466811,2026-04-30T01:58:10.314Z,QPY-C002829,QPY-A002829,CARD_PAYMENT,ECOM,74.42,EUR,tok_K003669,M000333,5732,PT,,,D004017,79.207.32.110,PT
QPY-T000466812,2026-04-30T01:58:33.266Z,QPY-C001771,QPY-A001771,CARD_PAYMENT,ECOM,13.12,EUR,tok_K002284,M000627,5411,PT,,,D002549,79.13.57.3,PT
