transaction_id,event_time,customer_id,account_id,transaction_type,channel,amount,currency,card_token,merchant_id,mcc,merchant_country,beneficiary_id,beneficiary_country,device_id,ip_address,ip_country
QPY-T000466753,2026-04-30T00:00:00.827Z,QPY-C001883,QPY-A001883,CARD_PAYMENT,ECOM,250.00,EUR,tok_K002434,M001297,5999,DE,,,D002697,79.247.183.254,PT
QPY-T000466754,2026-04-30T00:04:45.699Z,QPY-C000108,QPY-A000108,CARD_PAYMENT,ECOM,14.16,EUR,tok_K000132,M000153,5411,FR,,,D000151,175.89.199.63,FR
QPY-T000466755,2026-04-30T00:07:12.837Z,QPY-C002502,QPY-A002502,CARD_PAYMENT,ECOM,14.73,EUR,tok_K003244,M000779,5812,DE,,,D003582,70.183.166.12,DE
QPY-T000466756,2026-04-30T00:08:56.219Z,QPY-C002067,QPY-A002067,CARD_PAYMENT,ECOM,2.84,EUR,tok_K002673,M000606,4111,ES,,,D002958,175.46.75.115,ES
QPY-T000466757,2026-04-30T00:15:55.582Z,QPY-C003184,QPY-A003184,CARD_PAYMENT,ECOM,26.58,EUR,tok_K004130,M000770,5411,IT,,,D004520,30.55.214.84,IT
QPY-T000466758,2026-04-30T00:17:18.015Z,QPY-C002493,QPY-A002493,TRANSFER,MOBILE,52.84,EUR,,,,,B006223,ES,D003571,175.144.57.143,ES
QPY-T000466759,2026-04-30T00:18:15.213Z,QPY-C002627,QPY-A002627,CARD_PAYMENT,ECOM,60.21,EUR,tok_K003409,M000751,5812,ES,,,D003756,175.155.252.150,ES
QPY-T000466760,2026-04-30T00:18:36.827Z,QPY-C001675,QPY-A001675,TRANSFER,MOBILE,37.71,EUR,,,,,B004195,ES,D002409,175.245.138.159,ES
QPY-T000466761,2026-04-30T00:18:45.239Z,QPY-C001721,QPY-A001721,CARD_PAYMENT,ECOM,27.06,EUR,tok_K002215,M001183,5691,ES,,,D002474,175.188.90.60,ES
QPY-T000466762,2026-04-30T00:19:24.025Z,QPY-C001366,QPY-A001366,TRANSFER,MOBILE,341.24,EUR,,,,,B013218,FR,D001950,175.22.172.51,FR
QPY-T000466763,2026-04-30T00:19:49.186Z,QPY-C002148,QPY-A002148,CARD_PAYMENT,ECOM,30.42,EUR,tok_K002779,M000189,5411,FR,,,D003079,175.29.87.57,FR
QPY-T000466764,2026-04-30T00:21:30.479Z,QPY-C000945,QPY-A000945,CARD_PAYMENT,ECOM,21.30,EUR,tok_K001206,M000542,4111,PT,,,D001357,79.201.183.23,PT
QPY-T000466765,2026-04-30T00:21:41.021Z,QPY-C000989,QPY-A000989,CARD_PAYMENT,ECOM,3.45,EUR,tok_K001266,M000485,5411,DE,,,D001414,70.214.130.209,DE
QPY-T000466766,2026-04-30T00:22:58.279Z,QPY-C001575,QPY-A001575,CARD_PAYMENT,ECOM,262.29,EUR,tok_K002019,M000476,4812,ES,,,D002258,175.3.36.144,ES
QPY-T000466767,2026-04-30T00:28:15.184Z,QPY-C002726,QPY-A002726,TRANSFER,MOBILE,141.96,EUR,,,,,B017819,ES,D003889,175.1.2.141,ES
QPY-T000466768,2026-04-30T00:31:57.542Z,QPY-C003376,QPY-A003376,CARD_PAYMENT,ECOM,101.59,EUR,tok_K004373,M001224,7011,ES,,,D004783,175.129.197.189,ES
QPY-T000466769,2026-04-30T00:35:30.012Z,QPY-C003468,QPY-A003468,CARD_PAYMENT,ECOM,16.03,EUR,tok_K004495,M000777,5541,DE,,,D004904,70.209.75.45,DE
QPY-T000466770,2026-04-30T00:36:49.977Z,QPY-C002974,QPY-A002974,TRANSFER,MOBILE,25.39,EUR,,,,,B007439,PT,D004224,79.216.69.97,PT
QPY-T000466771,2026-04-30T00:37:19.358Z,QPY-C000345,QPY-A000345,CARD_PAYMENT,ECOM,21.57,EUR,tok_K000432,M000978,5691,DE,,,D000488,70.10.227.198,DE
QPY-T000466772,2026-04-30T00:42:42.287Z,QPY-C000581,QPY-A000581,CARD_PAYMENT,ECOM,11.17,EUR,tok_K000741,M000351,5411,ES,,,D000822,175.253.22.184,ES
QPY-T000466773,2026-04-30T00:42:43.760Z,QPY-C002453,QPY-A002453,CARD_PAYMENT,ECOM,18.80,EUR,tok_K003178,M000808,5691,IT,,,D003515,30.16.41.168,IT
QPY-T000466774,2026-04-30T00:48:10.662Z,QPY-C003280,QPY-A003280,CARD_PAYMENT,ECOM,16.32,EUR,tok_K004252,M000666,5812,DE,,,D004652,70.85.223.140,DE
QPY-T000466775,2026-04-30T00:51:05.126Z,QPY-C000066,QPY-A000066,CARD_PAYMENT,ECOM,22.87,EUR,tok_K000076,M000819,7011,ES,,,D000088,175.236.166.112,ES
QPY-T000466776,2026-04-30T00:53:26.387Z,QPY-C000775,QPY-A000775,CARD_PAYMENT,ECOM,29.13,EUR,tok_K000991,M000099,5411,IT,,,D001109,30.143.17.29,IT
QPY-T000466777,2026-04-30T00:54:44.083Z,QPY-C002999,QPY-A002999,CARD_PAYMENT,ECOM,99.00,EUR,tok_K003888,M001297,5999,DE,,,D004263,175.196.67.148,FR
QPY-T000466778,2026-04-30T00:55:24.893Z,QPY-C001763,QPY-A001763,TRANSFER,MOBILE,48.19,EUR,,,,,B014652,FR,D002540,175.109.143.221,FR
QPY-T000466779,2026-04-30T00:57:35.927Z,QPY-C002579,QPY-A002579,TRANSFER,WEB,576.30,EUR,,,,,B017350,IT,D003688,30.38.143.101,IT
QPY-T000466780,2026-04-30T00:58:25.450Z,QPY-C002392,QPY-A002392,CARD_PAYMENT,ECOM,6.16,EUR,tok_K003100,M000319,5816,FR,,,D005301,175.134.52.143,FR
QPY-T000466781,2026-04-30T00:59:21.674Z,QPY-C001398,QPY-A001398,CARD_PAYMENT,ECOM,99.00,EUR,tok_K001795,M001300,5999,FR,,,D001994,175.250.176.170,ES
