customer_id,account_id,segment,home_country,tenure_days,age_band,avg_amount_90d,risk_tier,card_tokens,bound_device_ids,is_mule,ring_id
QPY-C000001,QPY-A000001,casual,DE,685,36-50,19.63,standard,tok_K000001,D000001,False,
QPY-C000002,QPY-A000002,casual,ES,3056,36-50,42.39,standard,tok_K000002,D000002,False,
QPY-C000003,QPY-A000003,frequent,IT,999,26-35,28.23,standard,tok_K000003,D000003,False,
QPY-C000004,QPY-A000004,frequent,FR,2597,18-25,32.69,standard,tok_K000004,D000004,False,
QPY-C000005,QPY-A000005,frequent,FR,1044,36-50,26.35,standard,tok_K000005,D000005,False,
QPY-C000006,QPY-A000006,frequent,ES,3356,51-65,12.87,standard,tok_K000006,D000006,False,
QPY-C000007,QPY-A000007,casual,DE,973,51-65,35.69,standard,tok_K000007,D000007,False,
QPY-C000008,QPY-A000008,frequent,IT,1791,26-35,34.22,standard,tok_K000008,D000008,False,
QPY-C000009,QPY-A000009,casual,ES,3385,36-50,19.25,standard,tok_K000009,D000009;D000010,False,
QPY-C000010,QPY-A000010,casual,DE,494,51-65,27.61,standard,tok_K000010,D000011,False,
QPY-C000011,QPY-A000011,frequent,PT,764,51-65,54.76,standard,tok_K000011,D000012,False,
QPY-C000012,QPY-A000012,casual,DE,1395,18-25,18.58,standard,tok_K000012,D000013;D000014,False,
QPY-C000013,QPY-A000013,casual,DE,692,36-50,21.15,standard,tok_K000013,D000015;D000016,False,
QPY-C000014,QPY-A000014,frequent,ES,629,26-35,28.66,standard,tok_K000014;tok_K000015,D000017,False,
QPY-C000015,QPY-A000015,frequent,ES,682,26-35,30.4,standard,tok_K000016;tok_K000017,D000018;D000019,False,
QPY-C000016,QPY-A000016,casual,DE,1133,26-35,30.6,standard,tok_K000018,D000020,False,
QPY-C000017,QPY-A000017,casual,FR,3331,26-35,22.02,standard,tok_K000019,D000021,False,
QPY-C000018,QPY-A000018,frequent,PT,629,26-35,59.26,standard,tok_K000020,D000022;D000023,False,
QPY-C000019,QPY-A000019,casual,IT,1961,26-35,42.96,standard,tok_K000021;tok_K000022,D000024,False,
QPY-C000020,QPY-A000020,casual,ES,3206,36-50,26.54,standard,tok_K000023,D000025,False,
QPY-C000021,QPY-A000021,frequent,IT,355,18-25,48.98,standard,tok_K000024,D000026,False,
QPY-C000022,QPY-A000022,merchant_owner,ES,387,51-65,149.45,standard,tok_K000025,D000027;D000028,False,
QPY-C000023,QPY-A000023,merchant_owner,DE,1569,26-35,49.47,standard,tok_K000026;tok_K000027,D000029,False,
QPY-C000024,QPY-A000024,frequent,ES,583,36-50,27.11,standard,tok_K000028,D000030;D000031,False,
QPY-C000025,QPY-A000025,casual,FR,3505,26-35,27.5,standard,tok_K000029,D000032;D000033,False,
QPY-C000026,QPY-A000026,frequent,ES,3179,18-25,27.7,standard,tok_K000030,D000034,False,
QPY-C000027,QPY-A000027,frequent,PT,310,36-50,31.6,standard,tok_K000031,D000035;D000036,False,
QPY-C000028,QPY-A000028,casual,ES,1843,18-25,30.39,standard,tok_K000032,D000037,False,
QPY-C000029,QPY-A000029,frequent,ES,612,51-65,24.84,standard,tok_K000033,D000038,False,
QPY-C000030,QPY-A000030,casual,ES,734,26-35,23.02,standard,tok_K000034,D000039,False,
QPY-C000031,QPY-A000031,casual,ES,1646,36-50,26.36,standard,tok_K000035,D000040,False,
QPY-C000032,QPY-A000032,casual,IT,708,65+,32.12,standard,tok_K000036;tok_K000037,D000041,False,
QPY-C000033,QPY-A000033,frequent,ES,2029,18-25,31.67,standard,tok_K000038,D000042;D000043,False,
QPY-C000034,QPY-A000034,casual,FR,1580,36-50,24.32,standard,tok_K000039,D000044;D000045,False,
QPY-C000035,QPY-A000035,casual,FR,1947,26-35,17.68,standard,tok_K000040,D000046,False,
QPY-C000036,QPY-A000036,casual,ES,2488,51-65,50.01,standard,tok_K000041,D000047,False,
QPY-C000037,QPY-A000037,merchant_owner,FR,461,26-35,78.18,standard,tok_K000042;tok_K000043,D000048;D000049,False,
QPY-C000038,QPY-A000038,casual,DE,1473,26-35,17.09,standard,tok_K000044,D000050,False,
QPY-C000039,QPY-A000039,casual,FR,604,26-35,19.96,standard,tok_K000045,D000051,False,
QPY-C000040,QPY-A000040,casual,FR,611,26-35,20.69,standard,tok_K000046,D000052,False,
QPY-C000041,QPY-A000041,frequent,DE,2831,36-50,31.98,standard,tok_K000047,D000053,False,
QPY-C000042,QPY-A000042,casual,IT,122,26-35,38.0,standard,tok_K000048,D000054,False,
QPY-C000043,QPY-A000043,casual,IT,2052,36-50,33.59,standard,tok_K000049,D000055,False,
QPY-C000044,QPY-A000044,casual,ES,838,26-35,35.34,standard,tok_K000050,D000056;D000057,False,
QPY-C000045,QPY-A000045,frequent,DE,3027,65+,43.74,standard,tok_K000051,D000058,False,
QPY-C000046,QPY-A000046,casual,DE,1140,26-35,20.91,standard,tok_K000052,D000059,False,
QPY-C000047,QPY-A000047,frequent,IT,1228,65+,30.06,standard,tok_K000053,D000060;D000061,False,
QPY-C000048,QPY-A000048,casual,DE,3444,51-65,23.16,standard,tok_K000054,D000062;D000063,False,
