transaction_id,event_time,customer_id,account_id,card_token,transaction_type,channel,amount,currency,merchant_id,mcc,merchant_country,beneficiary_id,beneficiary_country,device_id,ip_address,ip_country,is_fraud,fraud_type,scenario_id,label_available_at
QPY-T000000889,2026-02-01 09:30:02.363961+00:00,QPY-C001471,QPY-A001471,tok_K001887,CARD_PAYMENT,ECOM,45.79,EUR,M000786,5732,FR,,,D002101,175.141.61.80,FR,False,,,
QPY-T000001564,2026-02-01 11:13:04.510805+00:00,QPY-C001643,QPY-A001643,tok_K002115,CARD_PAYMENT,ECOM,21.38,EUR,M000914,5812,FR,,,D002359,175.142.55.241,FR,False,,,
QPY-T000001660,2026-02-01 11:25:02.683707+00:00,QPY-C001757,QPY-A001757,tok_K002267,CARD_PAYMENT,ECOM,10.57,EUR,M001225,5411,FR,,,D002530,175.84.254.137,FR,False,,,
QPY-T000003080,2026-02-01 13:53:52.816469+00:00,QPY-C000249,QPY-A000249,tok_K000313,CARD_PAYMENT,ECOM,6.17,EUR,M000308,5812,DE,,,D000357,70.27.100.144,DE,False,,,
QPY-T000003852,2026-02-01 15:04:24.757915+00:00,QPY-C001915,QPY-A001915,tok_K002476,CARD_PAYMENT,ECOM,71.91,EUR,M001256,7011,IT,,,D002742,30.160.126.145,IT,False,,,
QPY-T000006430,2026-02-02 01:52:29.155904+00:00,QPY-C001264,QPY-A001264,tok_K001620,CARD_PAYMENT,ECOM,149.0,EUR,M001301,5999,DE,,,D001805,70.105.31.23,DE,True,transaction_laundering,TXL-0004,2026-03-05 13:35:29.155904+00:00
QPY-T000008648,2026-02-02 13:45:41.630371+00:00,QPY-C000772,QPY-A000772,tok_K000987,CARD_PAYMENT,ECOM,99.0,EUR,M001301,5999,DE,,,D001104,30.193.4.169,IT,True,transaction_laundering,TXL-0004,2026-03-06 01:28:41.630371+00:00
QPY-T000009154,2026-02-02 14:50:52.737150+00:00,QPY-C001009,QPY-A001009,tok_K001290,CARD_PAYMENT,ECOM,11.22,EUR,M000425,5999,ES,,,D001445,175.160.158.115,ES,False,,,
QPY-T000010045,2026-02-02 16:57:22.229691+00:00,QPY-C002469,QPY-A002469,tok_K003198,CARD_PAYMENT,ECOM,250.0,EUR,M001301,5999,DE,,,D003538,70.99.123.197,DE,True,transaction_laundering,TXL-0004,2026-03-06 04:40:22.229691+00:00
QPY-T000010262,2026-02-02 17:36:44.085098+00:00,QPY-C001647,QPY-A001647,,TRANSFER,MOBILE,65.87,EUR,,,,B004121,DE,D002366,70.194.102.121,DE,False,,,
QPY-T000010383,2026-02-02 17:58:26.159769+00:00,QPY-C001742,QPY-A001742,tok_K002243,CARD_PAYMENT,ECOM,99.0,EUR,M001301,5999,DE,,,D002508,175.1.63.149,FR,True,transaction_laundering,TXL-0004,2026-03-06 05:41:26.159769+00:00
QPY-T000010586,2026-02-02 18:46:54.523826+00:00,QPY-C001069,QPY-A001069,tok_K001369,CARD_PAYMENT,ECOM,40.17,EUR,M000686,5411,DE,,,D001526,70.87.151.97,DE,False,,,
QPY-T000010598,2026-02-02 18:49:39.888356+00:00,QPY-C002352,QPY-A002352,tok_K003042,CARD_PAYMENT,ECOM,27.84,EUR,M000009,5411,ES,,,D003364,175.122.6.28,ES,False,,,
QPY-T000011135,2026-02-03 01:09:50.613515+00:00,QPY-C000447,QPY-A000447,tok_K000566,CARD_PAYMENT,ECOM,19.9,EUR,M001301,5999,DE,,,D000628,79.81.120.113,PT,True,transaction_laundering,TXL-0004,
QPY-T000011194,2026-02-03 04:19:19.413581+00:00,QPY-C002513,QPY-A002513,tok_K003258,CARD_PAYMENT,ECOM,49.0,EUR,M001301,5999,DE,,,D003595,175.151.4.114,FR,True,transaction_laundering,TXL-0004,2026-03-06 16:02:19.413581+00:00
QPY-T000011340,2026-02-03 06:00:59+00:00,QPY-C000495,QPY-A000495,tok_K000630,CARD_PAYMENT,ECOM,26.68,EUR,M000440,5541,PT,,,D000702,79.16.220.112,PT,False,,,
