1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        164361       29960848  [B (java.base@21.0.12)
   2:          1281        6952040  [C (java.base@21.0.12)
   3:        149497        3587928  java.lang.String (java.base@21.0.12)
   4:         22021        2608336  java.lang.Class (java.base@21.0.12)
   5:         80560        2577920  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   6:         28168        2478784  java.lang.reflect.Method (java.base@21.0.12)
   7:         31840        2032664  [Ljava.lang.Object; (java.base@21.0.12)
   8:         48696        1558272  java.util.HashMap$Node (java.base@21.0.12)
   9:         14070        1229712  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:         28358        1134320  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:         12659        1097696  [I (java.base@21.0.12)
  12:          1378         914256  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  13:         12814         820096  java.util.LinkedHashMap (java.base@21.0.12)
  14:         26417         697120  [Ljava.lang.Class; (java.base@21.0.12)
  15:         43149         690384  java.lang.Object (java.base@21.0.12)
  16:         12342         592416  java.lang.invoke.MemberName (java.base@21.0.12)
  17:         10182         570192  java.nio.HeapByteBuffer (java.base@21.0.12)
  18:         11822         567456  org.apache.tomcat.util.buf.ByteChunk
  19:          6215         558656  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  20:         11219         538512  org.apache.tomcat.util.buf.CharChunk
  21:         11018         528864  org.apache.tomcat.util.buf.MessageBytes
  22:           652         377432  [J (java.base@21.0.12)
  23:          4811         346392  java.lang.reflect.Field (java.base@21.0.12)
  24:          8427         337080  java.lang.invoke.MethodType (java.base@21.0.12)
  25:          6806         326688  java.util.HashMap (java.base@21.0.12)
  26:         12199         292776  java.util.ArrayList (java.base@21.0.12)
  27:          5157         288792  org.springframework.core.ResolvableType
  28:          8520         272640  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  29:          8427         269664  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  30:          8670         208080  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  31:          3167         181416  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  32:          4805         178016  [Ljava.lang.String; (java.base@21.0.12)
  33:          4233         169320  java.lang.ref.SoftReference (java.base@21.0.12)
  34:          3925         157000  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  35:          2337         149568  java.lang.Class$ReflectionData (java.base@21.0.12)
  36:          2851         136848  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  37:          2018         129152  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  38:          3969         127008  org.apache.kafka.common.header.internals.RecordHeader
  39:          3166         126640  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  40:            82         120664  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  41:          1453         104616  java.lang.reflect.Constructor (java.base@21.0.12)
  42:          2605         104200  io.micrometer.core.instrument.Meter$Id
  43:          3194         102208  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  44:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  45:          2998          95936  org.apache.kafka.common.protocol.types.Field
  46:          1533          94720  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  47:          1204          91504  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  48:          2425          89024  [Lio.micrometer.core.instrument.Tag;
  49:          3609          86616  org.apache.tomcat.util.http.MimeHeaderField
  50:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  51:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
