1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        176186       26141576  [B (java.base@21.0.12)
   2:          1274        6971688  [C (java.base@21.0.12)
   3:        161392        3873408  java.lang.String (java.base@21.0.12)
   4:         93146        2980672  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         22066        2612720  java.lang.Class (java.base@21.0.12)
   6:         28135        2475880  java.lang.reflect.Method (java.base@21.0.12)
   7:         30115        1955048  [Ljava.lang.Object; (java.base@21.0.12)
   8:         48786        1561152  java.util.HashMap$Node (java.base@21.0.12)
   9:         14608        1253632  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:          1372        1174192  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  11:         29138        1165520  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  12:         12569        1094056  [I (java.base@21.0.12)
  13:         12984         830976  java.util.LinkedHashMap (java.base@21.0.12)
  14:         26360         694960  [Ljava.lang.Class; (java.base@21.0.12)
  15:         43030         688480  java.lang.Object (java.base@21.0.12)
  16:          4866         655160  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  17:         12212         586176  java.lang.invoke.MemberName (java.base@21.0.12)
  18:         11824         567552  org.apache.tomcat.util.buf.ByteChunk
  19:         11221         538608  org.apache.tomcat.util.buf.CharChunk
  20:         11020         528960  org.apache.tomcat.util.buf.MessageBytes
  21:           634         377208  [J (java.base@21.0.12)
  22:          4807         346104  java.lang.reflect.Field (java.base@21.0.12)
  23:          7172         344256  java.util.HashMap (java.base@21.0.12)
  24:          8374         334960  java.lang.invoke.MethodType (java.base@21.0.12)
  25:         13412         321888  java.lang.Long (java.base@21.0.12)
  26:          5154         288624  org.springframework.core.ResolvableType
  27:         11290         270960  java.util.ArrayList (java.base@21.0.12)
  28:          8374         267968  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  29:          7728         247296  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  30:          3752         210112  java.nio.HeapByteBuffer (java.base@21.0.12)
  31:          8545         205080  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  32:          3163         181232  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  33:          4790         176392  [Ljava.lang.String; (java.base@21.0.12)
  34:          4206         168240  java.lang.ref.SoftReference (java.base@21.0.12)
  35:          3890         155600  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  36:          2336         149504  java.lang.Class$ReflectionData (java.base@21.0.12)
  37:          2859         137232  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  38:          2013         128832  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  39:            85         124824  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  40:          3019         120760  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  41:          1455         104760  java.lang.reflect.Constructor (java.base@21.0.12)
  42:          2580         103200  io.micrometer.core.instrument.Meter$Id
  43:          3183         101856  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  44:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  45:          2998          95936  org.apache.kafka.common.protocol.types.Field
  46:          1192          90592  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  47:          2401          88128  [Lio.micrometer.core.instrument.Tag;
  48:          1437          87016  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  49:          3610          86640  org.apache.tomcat.util.http.MimeHeaderField
  50:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  51:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  52:          3269          78456  io.micrometer.core.instrument.ImmutableTag
  53:          3258          78192  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.12)
  54:          1185          75840  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  55:          2251          73616  [Ljava.lang.CharSequence; (java.base@21.0.12)
  56:          1293          72408  org.springframework.core.annotation.TypeMappedAnnotation
  57:          2908          69792  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.12)
  58:          2904          69696  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.12)
  59:          1439          69072  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  60:          1432          68736  java.lang.invoke.LambdaForm (java.base@21.0.12)
  61:          1709          68360  java.util.TreeMap$Entry (java.base@21.0.12)
  62:          1052          67328  org.springframework.core.MethodParameter
  63:          2782          66768  java.util.ImmutableCollections$List12 (java.base@21.0.12)
  64:          1626          65040  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12)
  65:          3988          63808  java.lang.Integer (java.base@21.0.12)
  66:          3258          61032  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.12)
  67:           217          60760  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.12)
  68:          1882          60224  java.lang.ref.WeakReference (java.base@21.0.12)
  69:          1464          58560  org.springframework.boot.context.properties.source.ConfigurationPropertyName
  70:          1464          58560  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
  71:          2401          57624  io.micrometer.core.instrument.Tags
  72:          1630          52160  java.lang.ref.ReferenceQueue (java.base@21.0.12)
  73:          1599          51168  java.util.Collections$UnmodifiableMap (java.base@21.0.12)
  74:          3179          50864  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.12)
  75:          1015          48720  ch.qos.logback.classic.Logger
  76:           276          48576  org.springframework.beans.factory.support.RootBeanDefinition
  77:           850          47600  org.postgresql.core.Field
  78:          1974          47376  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.12)
  79:          1937          46488  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.12)
  80:          1136          45440  org.springframework.core.type.classreading.SimpleMethodMetadata
  81:          1201          45280  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  82:           976          44712  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  83:           388          44440  [Z (java.base@21.0.12)
  84:          1834          44016  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
  85:           513          43680  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  86:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  87:          1793          43032  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  88:          1789          42936  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  89:          1775          42600  java.lang.Class$AnnotationData (java.base@21.0.12)
  90:           664          42496  org.postgresql.core.v3.SimpleQuery
  91:          2655          42480  java.util.LinkedHashSet (java.base@21.0.12)
  92:          1752          42048  tools.jackson.databind.node.DoubleNode
  93:           871          41808  java.util.TreeMap (java.base@21.0.12)
  94:           200          41600  org.apache.coyote.Request
  95:          1703          41152  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  96:           188          41088  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  97:          1689          40976  [Lorg.springframework.core.ResolvableType;
  98:          1704          40896  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  99:          1241          39712  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
