Picked up JAVA_TOOL_OPTIONS: -XX:MaxRAMPercentage=70 -XX:InitialRAMPercentage=50 -XX:+UseG1GC -XX:MaxGCPauseMillis=50  -XX:+ExitOnOutOfMemoryError -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/dumps  -Xlog:gc*:file=/dumps/gc.log:time,uptime,level,tags:filecount=5,filesize=10m

                                                                                            Thread CPU Load

Thread                                                                                                                                                                                    System   User
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------ ------
C2 CompilerThread0                                                                                                                                                                         0.00% 29.67%
ForkJoinPool-1-worker-2                                                                                                                                                                    2.35%  6.53%
ForkJoinPool-1-worker-1                                                                                                                                                                    2.05%  5.49%
ForkJoinPool-1-worker-3                                                                                                                                                                    1.90%  4.95%
lettuce-nioEventLoop-4-2                                                                                                                                                                   2.86%  4.55%
inference-3                                                                                                                                                                                0.01%  4.45%
inference-2                                                                                                                                                                                0.09%  4.40%
inference-4                                                                                                                                                                                0.02%  4.40%
inference-1                                                                                                                                                                                0.07%  4.35%
lettuce-nioEventLoop-4-1                                                                                                                                                                   3.46%  3.91%
DestroyJavaVM                                                                                                                                                                              0.18%  2.83%
org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1                                                                                                                           0.64%  1.43%
Read-Updater                                                                                                                                                                               0.29%  0.99%
org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1                                                                                                                           0.35%  0.89%
Attach Listener                                                                                                                                                                            0.04%  0.77%
http-nio-8080-Poller                                                                                                                                                                       0.09%  0.54%
AsyncAppender-Worker-ASYNC                                                                                                                                                                 0.19%  0.45%
HttpClient-3-SelectorManager                                                                                                                                                               0.58%  0.45%
HttpClient-3-Worker-6                                                                                                                                                                      0.14%  0.35%
HttpClient-3-Worker-11                                                                                                                                                                     0.16%  0.25%
Read-Poller                                                                                                                                                                                0.83%  0.25%
HttpClient-3-Worker-2                                                                                                                                                                      0.15%  0.25%
HttpClient-3-Worker-0                                                                                                                                                                      0.05%  0.21%
HttpClient-3-Worker-7                                                                                                                                                                      0.13%  0.20%
C1 CompilerThread0                                                                                                                                                                         0.01%  0.20%
kafka-producer-network-thread | decision-service-producer-1                                                                                                                                0.01%  0.20%
HttpClient-3-Worker-5                                                                                                                                                                      0.11%  0.20%
JFR Periodic Tasks                                                                                                                                                                         0.00%  0.15%
CompletableFutureDelayScheduler                                                                                                                                                            0.00%  0.15%
lettuce-eventExecutorLoop-1-1                                                                                                                                                              0.00%  0.10%
HttpClient-1-SelectorManager                                                                                                                                                               0.10%  0.10%
HttpClient-1-Worker-0                                                                                                                                                                      0.00%  0.10%
HttpClient-1-Worker-1                                                                                                                                                                      0.05%  0.10%
HttpClient-3-Worker-3                                                                                                                                                                      0.02%  0.08%
Reference Handler                                                                                                                                                                          0.00%  0.05%
kafka-coordinator-heartbeat-thread | label-ingestor                                                                                                                                        0.00%  0.05%
PostgreSQL-JDBC-SharedTimer-1                                                                                                                                                              0.02%  0.05%
lettuce-timer-3-1                                                                                                                                                                          0.00%  0.05%
kafka-coordinator-heartbeat-thread | config-refresh-69c72065-fda0-4588-bbd7-053f49bd73a0                                                                                                   0.00%  0.05%
Notification Thread                                                                                                                                                                        0.00%  0.05%
decision-db:housekeeper                                                                                                                                                                    0.02%  0.05%
http-nio-8080-Acceptor                                                                                                                                                                     0.00%  0.05%
org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1                                                                                                                           0.00%  0.05%
kafka-coordinator-heartbeat-thread | history-ingestor                                                                                                                                      0.00%  0.05%
org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1                                                                                                                           0.00%  0.05%
VirtualThread-unparker                                                                                                                                                                     0.13%  0.05%
HttpClient-1-Worker-2                                                                                                                                                                      0.03%  0.05%
HttpClient-3-Worker-4                                                                                                                                                                      0.10%  0.05%
JFR Recorder Thread                                                                                                                                                                        0.00%  0.05%
Service Thread                                                                                                                                                                             0.00%  0.01%
Monitor Deflation Thread                                                                                                                                                                   0.01%  0.00%
Common-Cleaner                                                                                                                                                                             0.01%  0.00%
Cleaner-0                                                                                                                                                                                  0.00%  0.00%
Catalina-utility-1                                                                                                                                                                         0.01%  0.00%
Catalina-utility-2                                                                                                                                                                         0.01%  0.00%
HttpClient-2-SelectorManager                                                                                                                                                               0.00%  0.00%
HttpClient-4-SelectorManager                                                                                                                                                               0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1                                                                                                                           0.04%  0.00%
kafka-coordinator-heartbeat-thread | profile-ingestor                                                                                                                                      0.02%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
kafka-coordinator-heartbeat-thread | case-creator                                                                                                                                          0.04%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
boundedElastic-2                                                                                                                                                                           0.01%  0.00%
lettuce-eventExecutorLoop-1-2                                                                                                                                                              0.01%  0.00%
decision-db:connection-adder                                                                                                                                                               0.01%  0.00%
