1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        174254       23311768  [B (java.base@21.0.12)
   2:          1279        6972704  [C (java.base@21.0.12)
   3:        159437        3826488  java.lang.String (java.base@21.0.12)
   4:         90202        2886464  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         22099        2616464  java.lang.Class (java.base@21.0.12)
   6:         28137        2476056  java.lang.reflect.Method (java.base@21.0.12)
   7:         30508        1976216  [Ljava.lang.Object; (java.base@21.0.12)
   8:         48909        1565088  java.util.HashMap$Node (java.base@21.0.12)
   9:         14617        1254720  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:          1374        1174672  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  11:         29159        1166360  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  12:         12609        1094408  [I (java.base@21.0.12)
  13:         12979         830656  java.util.LinkedHashMap (java.base@21.0.12)
  14:         26365         695216  [Ljava.lang.Class; (java.base@21.0.12)
  15:         43012         688192  java.lang.Object (java.base@21.0.12)
  16:         12222         586656  java.lang.invoke.MemberName (java.base@21.0.12)
  17:         11822         567456  org.apache.tomcat.util.buf.ByteChunk
  18:         11219         538512  org.apache.tomcat.util.buf.CharChunk
  19:         11018         528864  org.apache.tomcat.util.buf.MessageBytes
  20:          4427         379936  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  21:           617         376056  [J (java.base@21.0.12)
  22:          6269         351064  java.nio.HeapByteBuffer (java.base@21.0.12)
  23:          4808         346176  java.lang.reflect.Field (java.base@21.0.12)
  24:          7178         344544  java.util.HashMap (java.base@21.0.12)
  25:          8382         335280  java.lang.invoke.MethodType (java.base@21.0.12)
  26:          5156         288736  org.springframework.core.ResolvableType
  27:         11606         278544  java.util.ArrayList (java.base@21.0.12)
  28:          8382         268224  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  29:         10460         251040  java.lang.Long (java.base@21.0.12)
  30:          7811         249952  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  31:          8556         205344  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  32:          3163         181224  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  33:          4786         176232  [Ljava.lang.String; (java.base@21.0.12)
  34:          4197         167880  java.lang.ref.SoftReference (java.base@21.0.12)
  35:          3906         156240  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  36:          2329         149056  java.lang.Class$ReflectionData (java.base@21.0.12)
  37:          2855         137040  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  38:          2015         128960  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  39:            85         124824  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  40:          3031         121240  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  41:          1454         104688  java.lang.reflect.Constructor (java.base@21.0.12)
  42:          2580         103200  io.micrometer.core.instrument.Meter$Id
  43:          3192         102144  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  44:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  45:          2998          95936  org.apache.kafka.common.protocol.types.Field
  46:          1204          91504  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  47:          2401          88128  [Lio.micrometer.core.instrument.Tag;
  48:          1446          87672  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  49:          3609          86616  org.apache.tomcat.util.http.MimeHeaderField
  50:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  51:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  52:          3269          78456  io.micrometer.core.instrument.ImmutableTag
  53:          3258          78192  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.12)
  54:          1185          75840  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  55:          2251          73616  [Ljava.lang.CharSequence; (java.base@21.0.12)
  56:          1293          72408  org.springframework.core.annotation.TypeMappedAnnotation
  57:          2914          69936  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.12)
  58:          2901          69624  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.12)
  59:          1441          69168  java.lang.invoke.LambdaForm (java.base@21.0.12)
