Picked up JAVA_TOOL_OPTIONS: -XX:MaxRAMPercentage=70 -XX:InitialRAMPercentage=50 -XX:+UseG1GC -XX:MaxGCPauseMillis=50  -XX:+ExitOnOutOfMemoryError -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/dumps  -Xlog:gc*:file=/dumps/gc.log:time,uptime,level,tags:filecount=5,filesize=10m

                                                                                            Thread CPU Load

Thread                                                                                                                                                                                    System   User
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------ ------
C2 CompilerThread0                                                                                                                                                                         0.00% 24.31%
ForkJoinPool-1-worker-1                                                                                                                                                                    2.02%  6.78%
ForkJoinPool-1-worker-2                                                                                                                                                                    1.59%  6.39%
lettuce-nioEventLoop-4-1                                                                                                                                                                   2.51%  5.79%
ForkJoinPool-1-worker-3                                                                                                                                                                    1.56%  5.69%
lettuce-nioEventLoop-4-2                                                                                                                                                                   3.20%  5.10%
inference-3                                                                                                                                                                                0.16%  4.90%
inference-4                                                                                                                                                                                0.13%  4.90%
inference-1                                                                                                                                                                                0.05%  4.85%
inference-2                                                                                                                                                                                0.17%  4.75%
DestroyJavaVM                                                                                                                                                                              0.14%  2.60%
org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1                                                                                                                           0.72%  1.49%
org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1                                                                                                                           0.38%  0.79%
Read-Updater                                                                                                                                                                               0.43%  0.79%
Attach Listener                                                                                                                                                                            0.05%  0.66%
AsyncAppender-Worker-ASYNC                                                                                                                                                                 0.11%  0.59%
HttpClient-3-SelectorManager                                                                                                                                                               0.50%  0.59%
HttpClient-3-Worker-2                                                                                                                                                                      0.00%  0.40%
http-nio-8080-Poller                                                                                                                                                                       0.28%  0.35%
HttpClient-3-Worker-0                                                                                                                                                                      0.11%  0.35%
C1 CompilerThread0                                                                                                                                                                         0.00%  0.30%
HttpClient-3-Worker-4                                                                                                                                                                      0.22%  0.20%
HttpClient-3-Worker-6                                                                                                                                                                      0.20%  0.20%
Read-Poller                                                                                                                                                                                0.81%  0.20%
HttpClient-1-Worker-1                                                                                                                                                                      0.04%  0.20%
HttpClient-1-SelectorManager                                                                                                                                                               0.10%  0.15%
kafka-producer-network-thread | decision-service-producer-1                                                                                                                                0.07%  0.15%
CompletableFutureDelayScheduler                                                                                                                                                            0.00%  0.15%
HttpClient-3-Worker-1                                                                                                                                                                      0.04%  0.10%
HttpClient-3-Worker-3                                                                                                                                                                      0.04%  0.10%
JFR Periodic Tasks                                                                                                                                                                         0.03%  0.10%
VirtualThread-unparker                                                                                                                                                                     0.07%  0.10%
HttpClient-1-Worker-0                                                                                                                                                                      0.02%  0.10%
HttpClient-3-Worker-5                                                                                                                                                                      0.05%  0.10%
kafka-coordinator-heartbeat-thread | config-refresh-beabe893-f3d1-40c9-9c6b-b9b7b70c6f4a                                                                                                   0.00%  0.05%
kafka-coordinator-heartbeat-thread | profile-ingestor                                                                                                                                      0.00%  0.05%
Reference Handler                                                                                                                                                                          0.00%  0.05%
HttpClient-3-Worker-7                                                                                                                                                                      0.03%  0.05%
Notification Thread                                                                                                                                                                        0.00%  0.05%
decision-db:housekeeper                                                                                                                                                                    0.00%  0.05%
lettuce-timer-3-1                                                                                                                                                                          0.00%  0.05%
org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1                                                                                                                           0.01%  0.05%
kafka-coordinator-heartbeat-thread | history-ingestor                                                                                                                                      0.00%  0.05%
kafka-coordinator-heartbeat-thread | label-ingestor                                                                                                                                        0.00%  0.05%
org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1                                                                                                                           0.00%  0.05%
HttpClient-3-Worker-8                                                                                                                                                                      0.07%  0.05%
org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1                                                                                                                           0.00%  0.05%
HttpClient-1-Worker-2                                                                                                                                                                      0.02%  0.05%
Service Thread                                                                                                                                                                             0.00%  0.03%
Monitor Deflation Thread                                                                                                                                                                   0.01%  0.00%
Common-Cleaner                                                                                                                                                                             0.01%  0.00%
Cleaner-0                                                                                                                                                                                  0.00%  0.00%
Catalina-utility-1                                                                                                                                                                         0.01%  0.00%
Catalina-utility-2                                                                                                                                                                         0.01%  0.00%
HttpClient-2-SelectorManager                                                                                                                                                               0.00%  0.00%
HttpClient-4-SelectorManager                                                                                                                                                               0.00%  0.00%
http-nio-8080-Acceptor                                                                                                                                                                     0.01%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
PostgreSQL-JDBC-SharedTimer-1                                                                                                                                                              0.01%  0.00%
kafka-coordinator-heartbeat-thread | case-creator                                                                                                                                          0.04%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
lettuce-eventExecutorLoop-1-1                                                                                                                                                              0.00%  0.00%
boundedElastic-2                                                                                                                                                                           0.01%  0.00%
decision-db:connection-adder                                                                                                                                                               0.01%  0.00%
JFR Recorder Thread                                                                                                                                                                        0.02%  0.00%
lettuce-eventExecutorLoop-1-2                                                                                                                                                              0.00%  0.00%
