1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        170183       24390120  [B (java.base@21.0.12)
   2:          1265        5557872  [C (java.base@21.0.12)
   3:        157258        3774192  java.lang.String (java.base@21.0.12)
   4:        101115        3235680  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         21636        2561120  java.lang.Class (java.base@21.0.12)
   6:         26998        1881416  [Ljava.lang.Object; (java.base@21.0.12)
   7:         47207        1510624  java.util.HashMap$Node (java.base@21.0.12)
   8:         14034        1186808  [Ljava.util.HashMap$Node; (java.base@21.0.12)
   9:          1193        1131136  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  10:         26346        1053840  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:         11970        1053360  java.lang.reflect.Method (java.base@21.0.12)
  12:         10543        1016536  [I (java.base@21.0.12)
  13:         12569         804416  java.util.LinkedHashMap (java.base@21.0.12)
  14:         42877         686032  java.lang.Object (java.base@21.0.12)
  15:         24015         576360  java.lang.Long (java.base@21.0.12)
  16:          9952         557312  java.nio.HeapByteBuffer (java.base@21.0.12)
  17:         11030         529440  java.lang.invoke.MemberName (java.base@21.0.12)
  18:          4525         493136  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  19:          9214         442272  org.apache.tomcat.util.buf.ByteChunk
  20:          8743         419664  org.apache.tomcat.util.buf.CharChunk
  21:          8586         412128  org.apache.tomcat.util.buf.MessageBytes
  22:           624         375952  [J (java.base@21.0.12)
  23:         12174         339640  [Ljava.lang.Class; (java.base@21.0.12)
  24:          8067         322680  java.lang.invoke.MethodType (java.base@21.0.12)
  25:          6472         310656  java.util.HashMap (java.base@21.0.12)
  26:         11756         282144  java.util.ArrayList (java.base@21.0.12)
  27:          8067         258144  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  28:          4479         250824  org.springframework.core.ResolvableType
  29:          7673         184152  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  30:          4162         166480  java.lang.ref.SoftReference (java.base@21.0.12)
  31:          3725         149000  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  32:          4204         134528  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  33:            88         129000  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  34:          4005         128160  org.apache.kafka.common.header.internals.RecordHeader
  35:          2632         126336  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  36:          3187         120184  [Ljava.lang.String; (java.base@21.0.12)
  37:          1804         115456  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  38:          2881         115240  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  39:          2584         103360  io.micrometer.core.instrument.Meter$Id
  40:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  41:          3093          98976  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  42:          2998          95936  org.apache.kafka.common.protocol.types.Field
  43:          2401          88112  [Lio.micrometer.core.instrument.Tag;
  44:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  45:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  46:          1070          81320  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  47:          1102          79344  java.lang.reflect.Constructor (java.base@21.0.12)
  48:          3266          78384  io.micrometer.core.instrument.ImmutableTag
  49:          1188          76032  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  50:           262          73360  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.12)
  51:          1816          72640  java.util.TreeMap$Entry (java.base@21.0.12)
  52:          3012          72288  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.12)
  53:          1000          72000  org.apache.kafka.clients.consumer.ConsumerRecord
