1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        175498       18836216  [B (java.base@21.0.12)
   2:        164025        3936600  java.lang.String (java.base@21.0.12)
   3:           943        3387936  [C (java.base@21.0.12)
   4:         95226        3047232  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         22032        2609064  java.lang.Class (java.base@21.0.12)
   6:         28214        2482832  java.lang.reflect.Method (java.base@21.0.12)
   7:         30013        1935264  [Ljava.lang.Object; (java.base@21.0.12)
   8:         48763        1560416  java.util.HashMap$Node (java.base@21.0.12)
   9:         14608        1257000  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:         29025        1161000  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:          1263        1138976  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  12:         12645        1095464  [I (java.base@21.0.12)
  13:         12732         814848  java.util.LinkedHashMap (java.base@21.0.12)
  14:         26387         695128  [Ljava.lang.Class; (java.base@21.0.12)
  15:         42704         683264  java.lang.Object (java.base@21.0.12)
  16:          5471         630920  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  17:         12257         588336  java.lang.invoke.MemberName (java.base@21.0.12)
  18:         15814         379536  java.lang.Long (java.base@21.0.12)
  19:           626         376496  [J (java.base@21.0.12)
  20:          4829         347688  java.lang.reflect.Field (java.base@21.0.12)
  21:          8365         334600  java.lang.invoke.MethodType (java.base@21.0.12)
  22:          6685         320880  java.util.HashMap (java.base@21.0.12)
  23:          5164         289184  org.springframework.core.ResolvableType
  24:          5160         288960  java.nio.HeapByteBuffer (java.base@21.0.12)
  25:         11343         272232  java.util.ArrayList (java.base@21.0.12)
  26:          8365         267680  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  27:          5381         258288  org.apache.tomcat.util.buf.ByteChunk
  28:          7765         248480  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  29:          5105         245040  org.apache.tomcat.util.buf.CharChunk
  30:          5013         240624  org.apache.tomcat.util.buf.MessageBytes
  31:          8568         205632  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  32:          3165         181264  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  33:          4804         176840  [Ljava.lang.String; (java.base@21.0.12)
  34:          4196         167840  java.lang.ref.SoftReference (java.base@21.0.12)
  35:          3906         156240  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  36:          2329         149056  java.lang.Class$ReflectionData (java.base@21.0.12)
  37:          2863         137424  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  38:            95         137328  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  39:          1907         122048  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  40:          3037         121480  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  41:          1466         105552  java.lang.reflect.Constructor (java.base@21.0.12)
  42:          3215         102880  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  43:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  44:          2469          98760  io.micrometer.core.instrument.Meter$Id
  45:          2998          95936  org.apache.kafka.common.protocol.types.Field
