Picked up JAVA_TOOL_OPTIONS: -XX:MaxRAMPercentage=70 -XX:InitialRAMPercentage=50 -XX:+UseG1GC -XX:MaxGCPauseMillis=50  -XX:+ExitOnOutOfMemoryError -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/dumps  -Xlog:gc*:file=/dumps/gc.log:time,uptime,level,tags:filecount=5,filesize=10m

                                                                                            Thread CPU Load

Thread                                                                                                                                                                                    System   User
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------ ------
C2 CompilerThread0                                                                                                                                                                         0.14% 23.85%
ForkJoinPool-1-worker-2                                                                                                                                                                    1.68%  8.69%
ForkJoinPool-1-worker-3                                                                                                                                                                    1.87%  8.26%
ForkJoinPool-1-worker-1                                                                                                                                                                    1.58%  7.67%
inference-1                                                                                                                                                                                0.05%  4.71%
inference-3                                                                                                                                                                                0.16%  4.71%
inference-2                                                                                                                                                                                0.13%  4.57%
inference-4                                                                                                                                                                                0.07%  4.57%
lettuce-nioEventLoop-4-1                                                                                                                                                                   3.06%  2.82%
lettuce-nioEventLoop-4-2                                                                                                                                                                   3.11%  2.72%
org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1                                                                                                                           0.58%  2.23%
DestroyJavaVM                                                                                                                                                                              0.08%  1.39%
AsyncAppender-Worker-ASYNC                                                                                                                                                                 0.39%  1.02%
Read-Updater                                                                                                                                                                               0.51%  0.87%
Attach Listener                                                                                                                                                                            0.08%  0.85%
HttpClient-3-SelectorManager                                                                                                                                                               0.40%  0.78%
Read-Poller                                                                                                                                                                                0.55%  0.68%
http-nio-8080-Poller                                                                                                                                                                       0.15%  0.53%
HttpClient-3-Worker-7                                                                                                                                                                      0.05%  0.39%
HttpClient-3-Worker-0                                                                                                                                                                      0.07%  0.34%
C1 CompilerThread0                                                                                                                                                                         0.00%  0.29%
HttpClient-3-Worker-5                                                                                                                                                                      0.00%  0.29%
kafka-producer-network-thread | decision-service-producer-1                                                                                                                                0.03%  0.24%
HttpClient-3-Worker-4                                                                                                                                                                      0.05%  0.24%
HttpClient-3-Worker-6                                                                                                                                                                      0.06%  0.24%
HttpClient-3-Worker-1                                                                                                                                                                      0.05%  0.20%
HttpClient-1-SelectorManager                                                                                                                                                               0.06%  0.19%
org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1                                                                                                                           0.00%  0.15%
HttpClient-1-Worker-0                                                                                                                                                                      0.00%  0.15%
CompletableFutureDelayScheduler                                                                                                                                                            0.00%  0.15%
HttpClient-3-Worker-2                                                                                                                                                                      0.09%  0.15%
JFR Periodic Tasks                                                                                                                                                                         0.03%  0.15%
org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1                                                                                                                           0.00%  0.10%
VirtualThread-unparker                                                                                                                                                                     0.02%  0.10%
HttpClient-1-Worker-1                                                                                                                                                                      0.09%  0.10%
HttpClient-1-Worker-2                                                                                                                                                                      0.01%  0.10%
PostgreSQL-JDBC-SharedTimer-1                                                                                                                                                              0.03%  0.10%
HttpClient-3-Worker-3                                                                                                                                                                      0.06%  0.08%
kafka-coordinator-heartbeat-thread | config-refresh-6ff1c325-3b18-4a01-abdb-8b304c782ba9                                                                                                   0.00%  0.05%
Reference Handler                                                                                                                                                                          0.00%  0.05%
decision-db:housekeeper                                                                                                                                                                    0.00%  0.05%
Notification Thread                                                                                                                                                                        0.00%  0.05%
org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1                                                                                                                           0.00%  0.05%
lettuce-eventExecutorLoop-1-1                                                                                                                                                              0.00%  0.05%
lettuce-eventExecutorLoop-1-2                                                                                                                                                              0.00%  0.05%
kafka-coordinator-heartbeat-thread | label-ingestor                                                                                                                                        0.00%  0.05%
decision-db:connection-adder                                                                                                                                                               0.00%  0.05%
org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1                                                                                                                           0.03%  0.05%
kafka-coordinator-heartbeat-thread | profile-ingestor                                                                                                                                      0.00%  0.05%
kafka-coordinator-heartbeat-thread | case-creator                                                                                                                                          0.00%  0.05%
JFR Recorder Thread                                                                                                                                                                        0.00%  0.05%
Service Thread                                                                                                                                                                             0.00%  0.01%
Monitor Deflation Thread                                                                                                                                                                   0.01%  0.00%
Common-Cleaner                                                                                                                                                                             0.00%  0.00%
Cleaner-0                                                                                                                                                                                  0.00%  0.00%
Catalina-utility-1                                                                                                                                                                         0.01%  0.00%
Catalina-utility-2                                                                                                                                                                         0.01%  0.00%
container-0                                                                                                                                                                                0.01%  0.00%
lettuce-timer-3-1                                                                                                                                                                          0.06%  0.00%
HttpClient-2-SelectorManager                                                                                                                                                               0.01%  0.00%
HttpClient-4-SelectorManager                                                                                                                                                               0.00%  0.00%
http-nio-8080-Acceptor                                                                                                                                                                     0.02%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
kafka-coordinator-heartbeat-thread | history-ingestor                                                                                                                                      0.08%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
ThreadPoolTaskScheduler-1                                                                                                                                                                  0.01%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
boundedElastic-1                                                                                                                                                                           0.01%  0.00%
