1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        187871       19300864  [B (java.base@21.0.12)
   2:        176384        4233216  java.lang.String (java.base@21.0.12)
   3:        107475        3439200  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   4:           944        3388408  [C (java.base@21.0.12)
   5:         22070        2613528  java.lang.Class (java.base@21.0.12)
   6:         28214        2482832  java.lang.reflect.Method (java.base@21.0.12)
   7:         30058        1933912  [Ljava.lang.Object; (java.base@21.0.12)
   8:         48702        1558464  java.util.HashMap$Node (java.base@21.0.12)
   9:         14619        1257952  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:         29024        1160960  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:          1264        1139056  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  12:         12652        1095656  [I (java.base@21.0.12)
  13:         12731         814784  java.util.LinkedHashMap (java.base@21.0.12)
  14:          7195         717872  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  15:         26434         696856  [Ljava.lang.Class; (java.base@21.0.12)
  16:         42675         682800  java.lang.Object (java.base@21.0.12)
  17:         27998         671952  java.lang.Long (java.base@21.0.12)
  18:         12314         591072  java.lang.invoke.MemberName (java.base@21.0.12)
  19:           624         375952  [J (java.base@21.0.12)
  20:          4829         347688  java.lang.reflect.Field (java.base@21.0.12)
  21:          8411         336440  java.lang.invoke.MethodType (java.base@21.0.12)
  22:          6675         320400  java.util.HashMap (java.base@21.0.12)
  23:          5164         289184  org.springframework.core.ResolvableType
  24:          5157         288792  java.nio.HeapByteBuffer (java.base@21.0.12)
  25:         11327         271848  java.util.ArrayList (java.base@21.0.12)
  26:          8411         269152  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  27:          5401         259248  org.apache.tomcat.util.buf.ByteChunk
  28:          7813         250016  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  29:          5125         246000  org.apache.tomcat.util.buf.CharChunk
  30:          5033         241584  org.apache.tomcat.util.buf.MessageBytes
  31:          8614         206736  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  32:          3165         181264  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  33:          4808         176984  [Ljava.lang.String; (java.base@21.0.12)
  34:          4207         168280  java.lang.ref.SoftReference (java.base@21.0.12)
  35:          3918         156720  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  36:          2335         149440  java.lang.Class$ReflectionData (java.base@21.0.12)
  37:          2872         137856  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  38:            87         124872  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  39:          1907         122048  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  40:          3046         121840  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  41:          1466         105552  java.lang.reflect.Constructor (java.base@21.0.12)
  42:          3185         101920  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  43:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  44:          2475          99000  io.micrometer.core.instrument.Meter$Id
  45:          2998          95936  org.apache.kafka.common.protocol.types.Field
  46:          1194          90744  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  47:          1471          88648  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  48:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  49:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  50:          2291          83480  [Lio.micrometer.core.instrument.Tag;
  51:          3258          78192  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.12)
  52:          2259          73840  [Ljava.lang.CharSequence; (java.base@21.0.12)
  53:          3059          73416  io.micrometer.core.instrument.ImmutableTag
  54:          1297          72632  org.springframework.core.annotation.TypeMappedAnnotation
  55:           259          72520  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.12)
  56:          1466          70368  java.lang.invoke.LambdaForm (java.base@21.0.12)
  57:          2915          69960  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.12)
  58:          2914          69936  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.12)
  59:          1745          69800  java.util.TreeMap$Entry (java.base@21.0.12)
  60:          1416          67968  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  61:          1057          67648  org.springframework.core.MethodParameter
  62:          2816          67584  java.util.ImmutableCollections$List12 (java.base@21.0.12)
  63:          1049          67136  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  64:            17          66640  [S (java.base@21.0.12)
  65:          1636          65440  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12)
  66:          2005          64160  org.apache.kafka.common.header.internals.RecordHeader
  67:          3996          63936  java.lang.Integer (java.base@21.0.12)
  68:          3258          61032  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.12)
  69:          1057          59192  org.postgresql.core.Field
  70:          1470          58800  org.springframework.boot.context.properties.source.ConfigurationPropertyName
  71:          1470          58800  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
  72:          1827          58464  java.lang.ref.WeakReference (java.base@21.0.12)
  73:          2291          54984  io.micrometer.core.instrument.Tags
  74:          1636          52352  java.lang.ref.ReferenceQueue (java.base@21.0.12)
  75:          3179          50864  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.12)
  76:          1016          48768  ch.qos.logback.classic.Logger
  77:           277          48752  org.springframework.beans.factory.support.RootBeanDefinition
  78:          1984          47616  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.12)
  79:          1146          45840  org.springframework.core.type.classreading.SimpleMethodMetadata
  80:          1423          45536  java.util.Collections$UnmodifiableMap (java.base@21.0.12)
  81:          1205          45440  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  82:           976          44424  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  83:           385          44368  [Z (java.base@21.0.12)
  84:           519          44192  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  85:          1831          43944  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.12)
  86:          1818          43632  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
  87:           680          43520  org.postgresql.core.v3.SimpleQuery
  88:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  89:          1799          43176  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  90:          2667          42672  java.util.LinkedHashSet (java.base@21.0.12)
  91:          1777          42648  java.lang.Class$AnnotationData (java.base@21.0.12)
  92:           880          42240  java.util.TreeMap (java.base@21.0.12)
  93:          1752          42048  tools.jackson.databind.node.DoubleNode
  94:          1742          41808  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  95:          1722          41328  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  96:          1703          41160  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  97:          1689          40976  [Lorg.springframework.core.ResolvableType;
  98:           187          40808  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  99:          1652          39648  org.apache.tomcat.util.http.MimeHeaderField
 100:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 101:          1615          38760  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 102:          1599          38376  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 103:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 104:          1146          36672  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 105:           500          36000  org.apache.kafka.clients.consumer.ConsumerRecord
 106:           499          35928  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 107:           748          35904  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 108:           864          34560  java.math.BigInteger (java.base@21.0.12)
 109:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 110:          1069          34208  java.util.Locale (java.base@21.0.12)
 111:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
