1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        167573       23511512  [B (java.base@21.0.12)
   2:          1032        4023584  [C (java.base@21.0.12)
   3:        155430        3730320  java.lang.String (java.base@21.0.12)
   4:         82434        2637888  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         22040        2610360  java.lang.Class (java.base@21.0.12)
   6:         28325        2492600  java.lang.reflect.Method (java.base@21.0.12)
   7:         33032        2086928  [Ljava.lang.Object; (java.base@21.0.12)
   8:         51466        1646912  java.util.HashMap$Node (java.base@21.0.12)
   9:         15774        1339896  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:         30268        1210720  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:          1380        1165136  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  12:         12799        1102936  [I (java.base@21.0.12)
  13:         17411         975016  java.nio.HeapByteBuffer (java.base@21.0.12)
  14:         13387         856768  java.util.LinkedHashMap (java.base@21.0.12)
  15:         26392         695472  [Ljava.lang.Class; (java.base@21.0.12)
  16:         43089         689424  java.lang.Object (java.base@21.0.12)
  17:         12248         587904  java.lang.invoke.MemberName (java.base@21.0.12)
  18:          3898         483664  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  19:           625         360352  [J (java.base@21.0.12)
  20:          7359         353232  java.util.HashMap (java.base@21.0.12)
  21:          4814         346608  java.lang.reflect.Field (java.base@21.0.12)
  22:         13968         335232  java.util.ArrayList (java.base@21.0.12)
  23:          8349         333960  java.lang.invoke.MethodType (java.base@21.0.12)
  24:          6508         312384  org.apache.tomcat.util.buf.ByteChunk
  25:          6175         296400  org.apache.tomcat.util.buf.CharChunk
  26:          6064         291072  org.apache.tomcat.util.buf.MessageBytes
  27:          5182         290192  org.springframework.core.ResolvableType
  28:          8349         267168  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  29:          8081         258592  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  30:          8007         256224  org.apache.kafka.common.header.internals.RecordHeader
  31:          8579         205896  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  32:           124         183008  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  33:          3180         182320  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  34:          4876         178592  [Ljava.lang.String; (java.base@21.0.12)
  35:          4212         168480  java.lang.ref.SoftReference (java.base@21.0.12)
  36:          3892         155680  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  37:          2336         149504  java.lang.Class$ReflectionData (java.base@21.0.12)
  38:          2000         144000  org.apache.kafka.clients.consumer.ConsumerRecord
  39:          2846         136608  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  40:          2077         132928  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  41:          3131         125240  io.micrometer.core.instrument.Meter$Id
  42:          3028         121120  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  43:          2945         107800  [Lio.micrometer.core.instrument.Tag;
  44:          1477         106344  java.lang.reflect.Constructor (java.base@21.0.12)
  45:          3322         106304  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  46:          1570         100480  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  47:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  48:          2998          95936  org.apache.kafka.common.protocol.types.Field
  49:          3939          94536  io.micrometer.core.instrument.ImmutableTag
  50:          1482          90320  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  51:          1176          89376  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  52:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  53:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  54:          3273          78552  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.12)
  55:          2326          76184  [Ljava.lang.CharSequence; (java.base@21.0.12)
  56:          1317          73752  org.springframework.core.annotation.TypeMappedAnnotation
  57:          1805          72200  java.util.TreeMap$Entry (java.base@21.0.12)
  58:          1477          70896  java.lang.invoke.LambdaForm (java.base@21.0.12)
  59:          2945          70680  io.micrometer.core.instrument.Tags
  60:          1472          70656  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  61:          2940          70560  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.12)
  62:           252          70560  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.12)
  63:          2921          70104  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.12)
  64:          2176          69632  java.lang.ref.WeakReference (java.base@21.0.12)
  65:          1067          68288  org.springframework.core.MethodParameter
  66:          2823          67752  java.util.ImmutableCollections$List12 (java.base@21.0.12)
  67:          1631          65240  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12)
  68:          4028          64448  java.lang.Integer (java.base@21.0.12)
  69:          3273          61296  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.12)
  70:          1512          60480  org.springframework.boot.context.properties.source.ConfigurationPropertyName
  71:          1512          60480  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
  72:          1840          58880  java.util.Collections$UnmodifiableMap (java.base@21.0.12)
  73:          1018          57008  org.postgresql.core.Field
  74:          1635          52320  java.lang.ref.ReferenceQueue (java.base@21.0.12)
  75:          3194          51104  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.12)
  76:          2107          50568  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  77:          2065          49560  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.12)
  78:           279          49104  org.springframework.beans.factory.support.RootBeanDefinition
  79:          1019          48912  ch.qos.logback.classic.Logger
  80:          2000          48000  org.apache.kafka.common.header.internals.RecordHeaders
  81:          1987          47688  org.apache.tomcat.util.http.MimeHeaderField
  82:          1170          46800  org.springframework.core.type.classreading.SimpleMethodMetadata
  83:          1233          46584  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  84:          1930          46320  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
  85:          1873          44952  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.12)
  86:           976          44832  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  87:           388          44440  [Z (java.base@21.0.12)
  88:           518          44080  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  89:          2752          44032  java.util.LinkedHashSet (java.base@21.0.12)
  90:          1826          43824  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  91:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  92:           676          43264  org.postgresql.core.v3.SimpleQuery
  93:           900          43200  java.util.TreeMap (java.base@21.0.12)
  94:          1785          42840  java.lang.Class$AnnotationData (java.base@21.0.12)
  95:          1764          42336  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  96:          1752          42048  tools.jackson.databind.node.DoubleNode
  97:          1304          41728  org.apache.kafka.common.MetricName
  98:          1304          41728  org.apache.kafka.common.metrics.KafkaMetric
  99:          1710          41360  [Ljava.lang.reflect.Type; (java.base@21.0.12)
 100:          1689          40976  [Lorg.springframework.core.ResolvableType;
 101:           188          40848  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
 102:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 103:          1594          38256  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 104:          1170          37440  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 105:          1549          37176  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
 106:           765          36720  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 107:            66          36432  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 108:           506          36432  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 109:           737          35376  java.lang.invoke.LambdaFormEditor$Transform (java.base@21.0.12)
 110:          1472          35328  org.springframework.util.ConcurrentReferenceHashMap$Entry
 111:          2203          35248  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
 112:          1095          35040  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
 113:          2164          34624  java.util.Optional (java.base@21.0.12)
 114:           864          34560  java.math.BigInteger (java.base@21.0.12)
 115:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 116:          1069          34208  java.util.Locale (java.base@21.0.12)
 117:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 118:            19          34096  [S (java.base@21.0.12)
 119:          1059          33888  java.lang.Package (java.base@21.0.12)
 120:           847          33880  java.lang.Package$VersionInfo (java.base@21.0.12)
 121:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 122:          1396          33504  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 123:          1392          33408  java.time.Instant (java.base@21.0.12)
 124:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 125:          1373          32952  java.util.concurrent.atomic.AtomicLong (java.base@21.0.12)
 126:           855          32928  [Ljava.lang.reflect.Field; (java.base@21.0.12)
 127:           821          32840  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 128:           990          31680  io.micrometer.prometheusmetrics.PrometheusMeterRegistry$$Lambda/0x00007b807c5f70c8
 129:          1304          31296  org.apache.kafka.common.telemetry.internals.MetricKey
 130:           483          30912  org.apache.kafka.common.metrics.Sensor
