1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        147273       18140280  [B (java.base@21.0.12)
   2:          1033        4024056  [C (java.base@21.0.12)
   3:        135908        3261792  java.lang.String (java.base@21.0.12)
   4:         79934        2557888  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         21602        2557784  java.lang.Class (java.base@21.0.12)
   6:         27667        1886040  [Ljava.lang.Object; (java.base@21.0.12)
   7:         49662        1589184  java.util.HashMap$Node (java.base@21.0.12)
   8:         14865        1249560  [Ljava.util.HashMap$Node; (java.base@21.0.12)
   9:          1247        1140736  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  10:         27090        1083600  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:         12154        1069552  java.lang.reflect.Method (java.base@21.0.12)
  12:         10756        1025656  [I (java.base@21.0.12)
  13:         12930         827520  java.util.LinkedHashMap (java.base@21.0.12)
  14:         43092         689472  java.lang.Object (java.base@21.0.12)
  15:         11026         529248  java.lang.invoke.MemberName (java.base@21.0.12)
  16:          3481         520888  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  17:           622         359536  [J (java.base@21.0.12)
  18:         12290         343624  [Ljava.lang.Class; (java.base@21.0.12)
  19:          6838         328224  java.util.HashMap (java.base@21.0.12)
  20:          8097         323880  java.lang.invoke.MethodType (java.base@21.0.12)
  21:          6536         313728  org.apache.tomcat.util.buf.ByteChunk
  22:          5399         302344  java.nio.HeapByteBuffer (java.base@21.0.12)
  23:          6203         297744  org.apache.tomcat.util.buf.CharChunk
  24:         12203         292872  java.util.ArrayList (java.base@21.0.12)
  25:          6092         292416  org.apache.tomcat.util.buf.MessageBytes
  26:          8097         259104  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  27:          4503         252168  org.springframework.core.ResolvableType
  28:          7710         185040  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  29:          4195         167800  java.lang.ref.SoftReference (java.base@21.0.12)
