1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        162182       14856056  [B (java.base@21.0.12)
   2:        151240        3629760  java.lang.String (java.base@21.0.12)
   3:           856        2852496  [C (java.base@21.0.12)
   4:         81978        2623296  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         21980        2603400  java.lang.Class (java.base@21.0.12)
   6:         28295        2489960  java.lang.reflect.Method (java.base@21.0.12)
   7:         30970        1971912  [Ljava.lang.Object; (java.base@21.0.12)
   8:         51016        1632512  java.util.HashMap$Node (java.base@21.0.12)
   9:         15551        1323120  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:         30064        1202560  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:          1339        1149248  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  12:         12757        1101552  [I (java.base@21.0.12)
  13:         13245         847680  java.util.LinkedHashMap (java.base@21.0.12)
  14:         26374         694992  [Ljava.lang.Class; (java.base@21.0.12)
  15:         42940         687040  java.lang.Object (java.base@21.0.12)
  16:         12210         586080  java.lang.invoke.MemberName (java.base@21.0.12)
  17:          6244         508616  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  18:           625         376472  [J (java.base@21.0.12)
  19:          4814         346608  java.lang.reflect.Field (java.base@21.0.12)
  20:          7114         341472  java.util.HashMap (java.base@21.0.12)
  21:          8329         333160  java.lang.invoke.MethodType (java.base@21.0.12)
  22:          5179         290024  org.springframework.core.ResolvableType
  23:         12029         288696  java.util.ArrayList (java.base@21.0.12)
  24:          8329         266528  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  25:          8061         257952  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  26:          4437         212976  org.apache.tomcat.util.buf.ByteChunk
  27:          8546         205104  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  28:          4209         202032  org.apache.tomcat.util.buf.CharChunk
  29:          4133         198384  org.apache.tomcat.util.buf.MessageBytes
  30:          3441         192696  java.nio.HeapByteBuffer (java.base@21.0.12)
  31:          3177         182152  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  32:          4876         178592  [Ljava.lang.String; (java.base@21.0.12)
  33:          4213         168520  java.lang.ref.SoftReference (java.base@21.0.12)
  34:           111         158168  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  35:          3883         155320  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  36:          2337         149568  java.lang.Class$ReflectionData (java.base@21.0.12)
  37:          2841         136368  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  38:          2031         129984  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  39:          3023         120920  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  40:          3010         120400  io.micrometer.core.instrument.Meter$Id
  41:          1477         106344  java.lang.reflect.Constructor (java.base@21.0.12)
  42:          3302         105664  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  43:          2827         102848  [Lio.micrometer.core.instrument.Tag;
  44:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  45:          2998          95936  org.apache.kafka.common.protocol.types.Field
  46:          1425          91200  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  47:          1176          89376  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  48:          1463          89288  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  49:          3714          89136  io.micrometer.core.instrument.ImmutableTag
  50:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  51:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  52:          3268          78432  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.12)
  53:          2326          76184  [Ljava.lang.CharSequence; (java.base@21.0.12)
  54:          1317          73752  org.springframework.core.annotation.TypeMappedAnnotation
  55:          2921          70104  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.12)
  56:          1458          69984  java.lang.invoke.LambdaForm (java.base@21.0.12)
  57:          2915          69960  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.12)
  58:          1734          69360  java.util.TreeMap$Entry (java.base@21.0.12)
  59:          1431          68688  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  60:          1067          68288  org.springframework.core.MethodParameter
  61:          2827          67848  io.micrometer.core.instrument.Tags
  62:          2118          67776  java.lang.ref.WeakReference (java.base@21.0.12)
  63:          2745          65880  java.util.ImmutableCollections$List12 (java.base@21.0.12)
  64:          1628          65120  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12)
  65:          4023          64368  java.lang.Integer (java.base@21.0.12)
  66:           228          63840  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.12)
  67:          3268          61208  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.12)
  68:          1512          60480  org.springframework.boot.context.properties.source.ConfigurationPropertyName
  69:          1512          60480  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
  70:          1005          56280  org.postgresql.core.Field
  71:          1732          55424  java.util.Collections$UnmodifiableMap (java.base@21.0.12)
  72:          1679          53728  org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion
  73:          1635          52320  java.lang.ref.ReferenceQueue (java.base@21.0.12)
  74:          3189          51024  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.12)
  75:          2049          49176  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.12)
  76:           279          49104  org.springframework.beans.factory.support.RootBeanDefinition
  77:          2044          49056  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  78:          1019          48912  ch.qos.logback.classic.Logger
  79:          1170          46800  org.springframework.core.type.classreading.SimpleMethodMetadata
  80:          1233          46584  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
  81:          1894          45456  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
  82:           976          44728  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  83:           386          44392  [Z (java.base@21.0.12)
  84:          1838          44112  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.12)
  85:           518          44080  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  86:          2751          44016  java.util.LinkedHashSet (java.base@21.0.12)
  87:          1826          43824  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  88:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  89:           676          43264  org.postgresql.core.v3.SimpleQuery
  90:          1782          42768  java.lang.Class$AnnotationData (java.base@21.0.12)
  91:          1760          42240  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  92:           880          42240  java.util.TreeMap (java.base@21.0.12)
  93:          1752          42048  tools.jackson.databind.node.DoubleNode
  94:          1704          41192  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  95:          1689          40976  [Lorg.springframework.core.ResolvableType;
  96:           188          40848  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  97:          1248          39936  org.apache.kafka.common.MetricName
  98:          1248          39936  org.apache.kafka.common.metrics.KafkaMetric
  99:          1243          39776  org.apache.kafka.common.header.internals.RecordHeader
 100:           976          39040  org.springframework.util.ConcurrentReferenceHashMap$Segment
 101:          1594          38256  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
 102:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
 103:          1170          37440  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
