1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        158328       10992952  [B (java.base@21.0.12)
   2:        149894        3597456  java.lang.String (java.base@21.0.12)
   3:         85248        2727936  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   4:         21951        2599288  java.lang.Class (java.base@21.0.12)
   5:         28048        2468224  java.lang.reflect.Method (java.base@21.0.12)
   6:         29157        1862928  [Ljava.lang.Object; (java.base@21.0.12)
   7:         43138        1380416  java.util.HashMap$Node (java.base@21.0.12)
   8:         14401        1198536  [Ljava.util.HashMap$Node; (java.base@21.0.12)
   9:         28778        1151120  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  10:          1174        1112848  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  11:         11934        1069280  [I (java.base@21.0.12)
  12:         12584         805376  java.util.LinkedHashMap (java.base@21.0.12)
  13:           522         797864  [C (java.base@21.0.12)
  14:         26265         692200  [Ljava.lang.Class; (java.base@21.0.12)
  15:         42328         677248  java.lang.Object (java.base@21.0.12)
  16:         12101         580848  java.lang.invoke.MemberName (java.base@21.0.12)
  17:          4873         501024  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  18:          4795         345240  java.lang.reflect.Field (java.base@21.0.12)
  19:           451         341464  [J (java.base@21.0.12)
  20:          8301         332040  java.lang.invoke.MethodType (java.base@21.0.12)
  21:          6230         299040  java.util.HashMap (java.base@21.0.12)
  22:          5156         288736  org.springframework.core.ResolvableType
  23:          8311         265952  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  24:         10851         260424  java.util.ArrayList (java.base@21.0.12)
  25:          7681         245792  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  26:          8461         203064  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  27:          3151         180768  [Ljava.lang.reflect.Method; (java.base@21.0.12)
  28:          4779         176000  [Ljava.lang.String; (java.base@21.0.12)
  29:          4177         167080  java.lang.ref.SoftReference (java.base@21.0.12)
  30:          3866         154640  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  31:          2318         148352  java.lang.Class$ReflectionData (java.base@21.0.12)
  32:          5703         136872  java.lang.Long (java.base@21.0.12)
  33:          2835         136080  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  34:          2987         119480  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
