1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        170601       18176568  [B (java.base@21.0.12)
   2:        159884        3837216  java.lang.String (java.base@21.0.12)
   3:           944        3388728  [C (java.base@21.0.12)
   4:        105322        3370304  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   5:         21650        2563144  java.lang.Class (java.base@21.0.12)
   6:         26401        1831928  [Ljava.lang.Object; (java.base@21.0.12)
   7:         46826        1498432  java.util.HashMap$Node (java.base@21.0.12)
   8:         13748        1171664  [Ljava.util.HashMap$Node; (java.base@21.0.12)
   9:          1133        1115584  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  10:         26243        1049720  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  11:         11772        1035936  java.lang.reflect.Method (java.base@21.0.12)
  12:         10592        1018112  [I (java.base@21.0.12)
  13:         12281         785984  java.util.LinkedHashMap (java.base@21.0.12)
  14:         42673         682768  java.lang.Object (java.base@21.0.12)
  15:         28343         680232  java.lang.Long (java.base@21.0.12)
  16:         11099         532752  java.lang.invoke.MemberName (java.base@21.0.12)
  17:          3943         494112  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  18:           627         376048  [J (java.base@21.0.12)
  19:         12076         338400  [Ljava.lang.Class; (java.base@21.0.12)
  20:          8159         326360  java.lang.invoke.MethodType (java.base@21.0.12)
  21:          6174         296352  java.util.HashMap (java.base@21.0.12)
  22:          5149         288344  java.nio.HeapByteBuffer (java.base@21.0.12)
  23:         11072         265728  java.util.ArrayList (java.base@21.0.12)
  24:          8159         261088  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  25:          5433         260784  org.apache.tomcat.util.buf.ByteChunk
  26:          4458         249648  org.springframework.core.ResolvableType
  27:          5157         247536  org.apache.tomcat.util.buf.CharChunk
  28:          5065         243120  org.apache.tomcat.util.buf.MessageBytes
  29:          7760         186240  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  30:          4189         167560  java.lang.ref.SoftReference (java.base@21.0.12)
  31:          3753         150120  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  32:          4429         141728  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
  33:          2646         127008  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  34:          3190         120176  [Ljava.lang.String; (java.base@21.0.12)
  35:          2833         113320  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  36:            78         112392  [Ljava.nio.ByteBuffer; (java.base@21.0.12)
  37:          1741         111424  java.util.concurrent.ConcurrentHashMap (java.base@21.0.12)
  38:           519          99648  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
  39:          2483          99320  io.micrometer.core.instrument.Meter$Id
  40:          3072          98304  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  41:          2998          95936  org.apache.kafka.common.protocol.types.Field
  42:          1134          86184  [Ljava.lang.ref.SoftReference; (java.base@21.0.12)
  43:          3573          85752  org.apache.kafka.common.protocol.types.BoundField
  44:          2102          84080  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  45:          2297          83712  [Lio.micrometer.core.instrument.Tag;
  46:          1106          79632  java.lang.reflect.Constructor (java.base@21.0.12)
  47:           264          73920  java.util.concurrent.atomic.Striped64$Cell (java.base@21.0.12)
  48:          3072          73728  io.micrometer.core.instrument.ImmutableTag
  49:          3021          72504  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.12)
  50:          1284          71904  org.springframework.core.annotation.TypeMappedAnnotation
  51:          2901          69624  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@21.0.12)
  52:          1711          68440  java.util.TreeMap$Entry (java.base@21.0.12)
  53:          1049          67136  org.apache.kafka.common.metrics.stats.SampledStat$Sample
  54:          2782          66768  java.util.ImmutableCollections$List12 (java.base@21.0.12)
  55:            17          66640  [S (java.base@21.0.12)
  56:          2709          65016  sun.reflect.annotation.AnnotationInvocationHandler (java.base@21.0.12)
  57:          2005          64160  org.apache.kafka.common.header.internals.RecordHeader
  58:          1119          62664  org.postgresql.core.Field
  59:           965          61760  org.springframework.core.MethodParameter
  60:          1531          61240  java.lang.invoke.BoundMethodHandle$Species_L (java.base@21.0.12)
  61:          3673          58768  java.lang.Integer (java.base@21.0.12)
  62:          1791          57312  java.lang.ref.WeakReference (java.base@21.0.12)
  63:          3021          56560  [Lsun.reflect.generics.tree.TypeArgument; (java.base@21.0.12)
  64:          1013          56360  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  65:          2297          55128  io.micrometer.core.instrument.Tags
  66:          1588          50816  java.lang.ref.ReferenceQueue (java.base@21.0.12)
  67:          1016          48768  ch.qos.logback.classic.Logger
  68:           277          48752  org.springframework.beans.factory.support.RootBeanDefinition
  69:          1008          48384  java.lang.invoke.LambdaForm (java.base@21.0.12)
  70:          1992          47808  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.12)
  71:          2958          47328  sun.reflect.generics.tree.ClassTypeSignature (java.base@21.0.12)
  72:           980          47040  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  73:          1146          45840  org.springframework.core.type.classreading.SimpleMethodMetadata
  74:          1404          44928  java.util.Collections$UnmodifiableMap (java.base@21.0.12)
  75:           379          44224  [Z (java.base@21.0.12)
  76:           519          44192  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  77:           690          44160  org.postgresql.core.v3.SimpleQuery
  78:          1831          43944  java.util.concurrent.CopyOnWriteArrayList (java.base@21.0.12)
  79:          1355          43360  sun.security.util.ObjectIdentifier (java.base@21.0.12)
  80:          1777          42648  java.lang.Class$AnnotationData (java.base@21.0.12)
  81:          2663          42608  java.util.LinkedHashSet (java.base@21.0.12)
  82:          1752          42048  tools.jackson.databind.node.DoubleNode
  83:          1751          42024  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.12)
  84:          1744          41856  java.util.LinkedHashMap$LinkedEntrySet (java.base@21.0.12)
  85:           870          41760  java.util.TreeMap (java.base@21.0.12)
  86:           189          41368  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  87:           928          40176  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  88:          1668          40032  org.apache.tomcat.util.http.MimeHeaderField
  89:          1643          39432  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
  90:          1618          38832  java.util.LinkedHashMap$LinkedValues (java.base@21.0.12)
  91:          1615          38760  jdk.jfr.AnnotationElement (jdk.jfr@21.0.12)
  92:          1599          38376  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@21.0.12)
  93:            68          37536  io.netty.util.internal.shaded.org.jctools.queues.MpmcArrayQueue
  94:           928          37120  org.springframework.util.ConcurrentReferenceHashMap$Segment
  95:           512          36864  java.lang.reflect.Field (java.base@21.0.12)
  96:          1146          36672  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
  97:          1510          36520  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  98:           500          36000  org.apache.kafka.clients.consumer.ConsumerRecord
  99:           499          35928  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 100:           745          35760  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 101:           864          34560  java.math.BigInteger (java.base@21.0.12)
 102:          1428          34488  [Lorg.springframework.core.ResolvableType;
 103:          1437          34488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 104:          1069          34208  java.util.Locale (java.base@21.0.12)
 105:          1069          34208  sun.util.locale.BaseLocale (java.base@21.0.12)
 106:           846          33840  jdk.jfr.ValueDescriptor (jdk.jfr@21.0.12)
 107:          1056          33792  java.lang.Package (java.base@21.0.12)
 108:           844          33760  java.lang.Package$VersionInfo (java.base@21.0.12)
 109:          1050          33600  sun.util.locale.BaseLocale$Key (java.base@21.0.12)
 110:           834          33360  sun.security.util.DerInputStream (java.base@21.0.12)
 111:          1035          33120  tools.jackson.databind.introspect.AnnotatedMethod$MethodHolder
 112:          1370          32880  java.util.concurrent.ConcurrentLinkedDeque (java.base@21.0.12)
 113:          2002          32032  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
