1:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        166130       26318912  [B (java.base@21.0.12)
   2:          1274        6953712  [C (java.base@21.0.12)
   3:        151286        3630864  java.lang.String (java.base@21.0.12)
   4:         22112        2617904  java.lang.Class (java.base@21.0.12)
   5:         80935        2589920  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
   6:         28137        2476056  java.lang.reflect.Method (java.base@21.0.12)
   7:         31081        2018960  [Ljava.lang.Object; (java.base@21.0.12)
   8:         49171        1573472  java.util.HashMap$Node (java.base@21.0.12)
   9:         14642        1264104  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  10:          1376        1195568  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  11:         29207        1168280  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  12:         12677        1097504  [I (java.base@21.0.12)
  13:         12999         831936  java.util.LinkedHashMap (java.base@21.0.12)
  14:         26420         696776  [Ljava.lang.Class; (java.base@21.0.12)
  15:         43017         688272  java.lang.Object (java.base@21.0.12)
  16:         12320         591360  java.lang.invoke.MemberName (java.base@21.0.12)
  17:         10272         575232  java.nio.HeapByteBuffer (java.base@21.0.12)
  18:         11788         565824  org.apache.tomcat.util.buf.ByteChunk
  19:         11185         536880  org.apache.tomcat.util.buf.CharChunk
  20:         10984         527232  org.apache.tomcat.util.buf.MessageBytes
  21:           636         378496  [J (java.base@21.0.12)
  22:          3335         366928  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  23:          4812         346464  java.lang.reflect.Field (java.base@21.0.12)
  24:          7208         345984  java.util.HashMap (java.base@21.0.12)
  25:          8437         337480  java.lang.invoke.MethodType (java.base@21.0.12)
  26:         12160         291840  java.util.ArrayList (java.base@21.0.12)
  27:          5153         288568  org.springframework.core.ResolvableType
  28:          8437         269984  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  29:          7797         249504  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
