Picked up JAVA_TOOL_OPTIONS: -XX:MaxRAMPercentage=70 -XX:InitialRAMPercentage=50 -XX:+UseG1GC -XX:MaxGCPauseMillis=50  -XX:+ExitOnOutOfMemoryError -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/dumps  -Xlog:gc*:file=/dumps/gc.log:time,uptime,level,tags:filecount=5,filesize=10m

                                                                                            Thread CPU Load

Thread                                                                                                                                                                                    System   User
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------ ------
C2 CompilerThread0                                                                                                                                                                         0.09% 13.98%
ForkJoinPool-1-worker-1                                                                                                                                                                    2.26% 10.54%
ForkJoinPool-1-worker-2                                                                                                                                                                    2.24% 10.20%
ForkJoinPool-1-worker-3                                                                                                                                                                    2.12% 10.00%
inference-1                                                                                                                                                                                0.07%  6.91%
inference-2                                                                                                                                                                                0.14%  6.82%
inference-3                                                                                                                                                                                0.20%  6.62%
inference-4                                                                                                                                                                                0.11%  6.62%
AsyncAppender-Worker-ASYNC                                                                                                                                                                 0.76%  1.96%
lettuce-nioEventLoop-4-1                                                                                                                                                                   0.52%  1.72%
lettuce-nioEventLoop-4-2                                                                                                                                                                   0.51%  1.62%
org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1                                                                                                                           0.41%  1.47%
org.springframework.kafka.KafkaListenerEndpointContainer#3-0-C-1                                                                                                                           0.29%  1.08%
Read-Updater                                                                                                                                                                               0.48%  0.98%
Read-Poller                                                                                                                                                                                0.26%  0.83%
http-nio-8080-Poller                                                                                                                                                                       0.45%  0.78%
http-nio-8080-Acceptor                                                                                                                                                                     0.27%  0.78%
Attach Listener                                                                                                                                                                            0.05%  0.62%
decision-db:connection-adder                                                                                                                                                               0.12%  0.39%
kafka-producer-network-thread | decision-service-producer-1                                                                                                                                0.13%  0.29%
C1 CompilerThread0                                                                                                                                                                         0.00%  0.25%
CompletableFutureDelayScheduler                                                                                                                                                            0.00%  0.25%
VirtualThread-unparker                                                                                                                                                                     0.03%  0.20%
HttpClient-3-Worker-5                                                                                                                                                                      0.04%  0.15%
HttpClient-3-Worker-3                                                                                                                                                                      0.08%  0.10%
JFR Periodic Tasks                                                                                                                                                                         0.02%  0.10%
HttpClient-1-SelectorManager                                                                                                                                                               0.06%  0.10%
org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1                                                                                                                           0.00%  0.10%
org.springframework.kafka.KafkaListenerEndpointContainer#4-0-C-1                                                                                                                           0.00%  0.10%
org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1                                                                                                                           0.00%  0.10%
HttpClient-1-Worker-4                                                                                                                                                                      0.03%  0.10%
HttpClient-3-Worker-7                                                                                                                                                                      0.04%  0.10%
HttpClient-3-Worker-9                                                                                                                                                                      0.02%  0.10%
DestroyJavaVM                                                                                                                                                                              0.00%  0.08%
Catalina-utility-2                                                                                                                                                                         0.00%  0.05%
Notification Thread                                                                                                                                                                        0.00%  0.05%
HttpClient-4-SelectorManager                                                                                                                                                               0.00%  0.05%
kafka-coordinator-heartbeat-thread | history-ingestor                                                                                                                                      0.00%  0.05%
kafka-coordinator-heartbeat-thread | label-ingestor                                                                                                                                        0.00%  0.05%
kafka-coordinator-heartbeat-thread | case-creator                                                                                                                                          0.01%  0.05%
kafka-coordinator-heartbeat-thread | config-refresh-7abd9159-1d81-4af9-881a-654c3f0ce06e                                                                                                   0.00%  0.05%
PostgreSQL-JDBC-SharedTimer-2                                                                                                                                                              0.02%  0.05%
HttpClient-3-Worker-10                                                                                                                                                                     0.00%  0.05%
HttpClient-3-Worker-8                                                                                                                                                                      0.00%  0.05%
HttpClient-1-Worker-3                                                                                                                                                                      0.06%  0.05%
Reference Handler                                                                                                                                                                          0.00%  0.05%
Catalina-utility-1                                                                                                                                                                         0.00%  0.05%
HttpClient-3-Worker-12                                                                                                                                                                     0.00%  0.05%
boundedElastic-1                                                                                                                                                                           0.00%  0.05%
lettuce-eventExecutorLoop-1-2                                                                                                                                                              0.00%  0.01%
lettuce-eventExecutorLoop-1-1                                                                                                                                                              0.00%  0.00%
Service Thread                                                                                                                                                                             0.00%  0.00%
HttpClient-2-SelectorManager                                                                                                                                                               0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
ThreadPoolTaskScheduler-1                                                                                                                                                                  0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
ThreadPoolTaskScheduler-1                                                                                                                                                                  0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
ThreadPoolTaskScheduler-1                                                                                                                                                                  0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
Cleaner-0                                                                                                                                                                                  0.00%  0.00%
HttpClient-1-Worker-5                                                                                                                                                                      0.01%  0.00%
Monitor Deflation Thread                                                                                                                                                                   0.01%  0.00%
Common-Cleaner                                                                                                                                                                             0.00%  0.00%
container-0                                                                                                                                                                                0.00%  0.00%
Cleaner-1                                                                                                                                                                                  0.00%  0.00%
decision-db:housekeeper                                                                                                                                                                    0.01%  0.00%
lettuce-timer-3-1                                                                                                                                                                          0.01%  0.00%
HttpClient-3-SelectorManager                                                                                                                                                               0.05%  0.00%
ThreadPoolTaskScheduler-1                                                                                                                                                                  0.00%  0.00%
micrometer-kafka-metrics                                                                                                                                                                   0.00%  0.00%
ThreadPoolTaskScheduler-1                                                                                                                                                                  0.00%  0.00%
kafka-coordinator-heartbeat-thread | profile-ingestor                                                                                                                                      0.02%  0.00%
boundedElastic-evictor-2                                                                                                                                                                   0.00%  0.00%
JFR Recorder Thread                                                                                                                                                                        0.04%  0.00%
HttpClient-3-Worker-4                                                                                                                                                                      0.03%  0.00%
HttpClient-3-Worker-6                                                                                                                                                                      0.01%  0.00%
